,X_WGS84,Y_WGS84,solrig
1,-96.48569908,45.37153473,1
2,-99.29692067,44.82856343,1
3,-99.15116164,44.39948001,1
4,-96.00240994,45.74513828,1
5,-96.37530112,46.60143251,1
6,-95.97162405,45.46086667,1
7,-98.88813324,46.48254715,1
8,-96.17599198,47.19713788,1
9,-96.44494442,45.26838452,1
10,-95.75111604,45.81718309,1
11,-96.45994895,46.8353047,1
12,-95.97430793,45.5591384,1
13,-96.38475624,46.42374659,1
14,-97.10497037,46.51872365,1
15,-99.64189097,45.78232661,1
16,-99.30339544,46.14532437,1
17,-96.30552588,47.51359023,1
18,-99.62614615,44.9740757,1
19,-96.34628079,48.66869322,1
20,-97.2108007,46.37236232,1
21,-96.51287631,48.55948029,1
22,-95.27825574,45.09397858,1
23,-95.2064311,45.42905438,1
24,-96.14400552,47.10791672,1
25,-96.75138727,45.51285927,1
26,-96.15687308,48.45751151,1
27,-98.56984296,43.65705013,1
28,-99.12660157,45.7137564,1
29,-96.28181155,45.35115954,1
30,-96.37547446,47.82165526,1
31,-99.49508085,46.45122201,1
32,-96.29050073,47.71146081,1
33,-96.55626272,47.99004702,1
34,-96.01507106,45.26573022,1
35,-99.32072335,45.76779524,1
36,-99.24400664,46.42555822,1
37,-95.6052576,46.20549726,1
38,-95.99954619,45.15041696,1
39,-98.88982471,46.01962382,1
40,-98.66130436,43.80443287,1
41,-96.25462521,45.19944986,1
42,-99.45455259,45.29557805,1
43,-97.40191435,46.49479508,1
44,-99.81883965,45.52990417,1
45,-96.21663045,46.86648992,1
46,-99.073436,46.54691757,1
47,-95.74609729,46.10685441,1
48,-96.03529399,47.035859,1
49,-97.35849978,46.35159108,1
50,-95.54601381,45.10780188,1
51,-99.25936245,46.3272532,1
52,-96.60529336,48.71781525,1
53,-96.40690735,48.97743819,1
54,-96.43530537,44.68894357,1
55,-99.21598837,46.57581108,1
56,-94.840603,38.895502,1
57,-92.972092,45.100589,1
58,-92.905382,44.978981,1
59,-89.304999,43.344793,1
60,-91.379403,44.817438,1
61,-89.97072,44.046812,1
62,-104.844925,50.577228,1
63,-89.965875,42.762195,1
64,-104.729492,50.713878,1
65,-101.292134,48.24835,1
66,-90.058895,43.199402,1
67,-94.990445,44.550742,1
68,-84.057748,39.806245,1
69,-114.030914,51.064717,1
70,-73.999833,40.86665,1
71,-88.037312,43.0326,1
72,-87.818473,42.098291,1
73,-82.336069,42.767998,1
74,-87.959391,42.48253,1
75,-77.467346,38.839301,1
76,-89.340538,41.905067,1
77,-94.995061,46.956495,1
78,-93.177664,34.084205,1
79,-109.495401,49.657256,1
80,-113.548142,53.518567,1
81,-97.477338,49.861417,1
82,-88.053896,42.553362,1
83,-88.537644,42.585119,1
84,-88.075166,40.527255,1
85,-106.519176,53.601897,1
86,-87.935441,42.154474,1
87,-78.726029,36.154375,1
88,-88.202712,42.026252,1
89,-89.30023,43.119606,1
90,-89.766134,42.843844,1
91,-88.148412,42.235715,1
92,-73.929028,40.603991,1
93,-92.489622,44.139259,1
94,-92.483201,42.696974,1
95,-96.578873,39.086322,1
96,-93.649078,45.18443,1
97,-88.518208,41.640298,1
98,-88.02523,43.385587,1
99,-96.594135,43.477337,1
100,-90.26846,42.242712,1
101,-89.801622,44.372848,1
102,-101.252175,50.696329,1
103,-98.963603,47.996665,1
104,-85.921945,35.122908,1
105,-92.344401,44.53813,1
106,-88.31759,41.360641,1
107,-78.467889,38.059748,1
108,-90.968729,46.582118,1
109,-88.07574,41.840137,1
110,-104.885422,39.229255,1
111,-89.186378,43.203317,1
112,-114.002114,52.479451,1
113,-104.442,39.026215,1
114,-102.95306,39.28639,1
115,-105.509464,38.187255,1
116,-104.721502,39.012396,1
117,-105.598093,40.357502,1
118,-105.380293,39.986659,1
119,-100.625,50.203806,1
120,-96.768078,49.071786,1
121,-80.460434,42.587972,1
122,-80.201483,43.528122,1
123,-102.152633,47.624471,1
124,-100.713256,46.643542,1
125,-90.121741,42.398106,1
126,-105.3705,52.202081,1
127,-90.002152,40.148195,1
128,-89.226254,42.157761,1
129,-85.245953,42.334938,1
130,-85.633095,35.807658,1
131,-88.459927,43.461257,1
132,-91.311244,43.429892,1
133,-83.232063,39.900775,1
134,-93.565673,42.046474,1
135,-88.167943,41.251072,1
136,-87.646453,41.869055,1
137,-87.689639,41.605932,1
138,-87.754868,41.698747,1
139,-114.393137,51.166962,1
140,-105.527285,50.414531,1
141,-88.284939,41.455049,1
142,-97.075184,36.1547,1
143,-96.959013,32.639122,1
144,-94.0464,35.33287,1
145,-94.068276,41.438083,1
146,-82.86629,39.763525,1
147,-93.914162,44.155242,1
148,-97.123399,49.871877,1
149,-97.02451,32.429363,1
150,-93.36936,44.846799,1
151,-80.427329,43.44775,1
152,-97.605834,33.589114,1
153,-87.366067,39.294808,1
154,-82.358511,42.608856,1
155,-94.721801,38.577032,1
156,-92.233375,38.587038,1
157,-110.874663,52.761953,1
158,-84.763592,43.605324,1
159,-85.722817,42.279724,1
160,-77.848345,40.835972,1
161,-89.87475,42.962825,1
162,-90.495463,38.70479,1
163,-94.338132,45.844181,1
164,-73.757406,40.761025,1
165,-88.389319,41.951082,1
166,-83.023575,39.853837,1
167,-81.694194,41.390248,1
168,-91.469574,47.141174,1
169,-93.387524,45.140614,1
170,-94.154428,40.51772,1
171,-93.215994,44.860199,1
172,-103.37064,43.629452,1
173,-84.684825,42.847774,1
174,-93.840538,36.498525,1
175,-91.759998,42.081327,1
176,-88.454856,41.841889,1
177,-88.310142,42.07853,1
178,-82.404095,42.36995,1
179,-89.442273,43.234655,1
180,-103.485131,46.988567,1
181,-78.263993,45.541904,1
182,-88.352745,41.668347,1
183,-88.236838,40.112147,1
184,-94.086568,44.157597,1
185,-93.73122,45.466052,1
186,-91.19801,47.381515,1
187,-73.876173,40.867975,1
188,-83.055153,39.396629,1
189,-88.414839,43.113885,1
190,-91.039417,43.59051,1
191,-100.615562,48.182,1
192,-105.535095,50.26585,1
193,-89.83826,44.243247,1
194,-92.768738,44.913292,1
195,-94.484383,36.219575,1
196,-95.100423,43.781175,1
197,-95.05229,44.091997,1
198,-96.621393,33.160697,1
199,-88.013192,42.352833,1
200,-96.120981,46.79827,1
201,-93.345362,44.723444,1
202,-93.103488,45.106563,1
203,-84.695938,39.29773,1
204,-90.621715,44.056834,1
205,-88.272378,42.963099,1
206,-93.618471,44.860604,1
207,-88.633456,42.839827,1
208,-90.309985,38.693603,1
209,-89.594465,43.009978,1
210,-94.234012,36.062475,1
211,-88.400108,42.478588,1
212,-103.38174,46.895835,1
213,-92.84836,43.868337,1
214,-87.808468,36.474489,1
215,-95.011108,44.776006,1
216,-83.085754,42.256122,1
217,-81.438806,43.176409,1
218,-81.752192,43.172863,1
219,-113.621211,52.392288,1
220,-88.918596,43.114349,1
221,-89.901618,43.55713,1
222,-91.482613,44.026128,1
223,-97.445725,50.066572,1
224,-89.876259,43.694337,1
225,-97.133801,50.170276,1
226,-108.7554,49.61397,1
227,-76.467275,42.450264,1
228,-104.811924,49.25593,1
229,-93.008692,44.523744,1
230,-87.871985,41.676637,1
231,-99.913333,50.676667,1
232,-116.558333,52.918333,1
233,-97.872764,53.696064,1
234,-89.01531,40.62131,1
235,-87.579675,41.787013,1
236,-87.887446,42.391519,1
237,-101.390594,47.360004,1
238,-93.065224,44.818098,1
239,-89.337972,41.771664,1
240,-91.233273,40.623464,1
241,-104.615284,50.776886,1
242,-89.099885,42.493872,1
243,-92.519043,43.536578,1
244,-95.30637,45.303706,1
245,-94.122791,44.579657,1
246,-94.187528,45.962891,1
247,-93.055944,44.984772,1
248,-91.651851,47.726088,1
249,-96.813965,47.72417,1
250,-94.30491,44.72505,1
251,-93.817185,45.115773,1
252,-94.045354,45.246053,1
253,-91.42281,43.767742,1
254,-94.684695,43.739872,1
255,-96.290714,46.318653,1
256,-93.010544,44.262012,1
257,-95.250605,44.000037,1
258,-95.962931,43.652438,1
259,-95.307886,47.144396,1
260,-92.722544,44.67995,1
261,-93.860001,45.331907,1
262,-91.959553,44.200303,1
263,-96.235363,46.159244,1
264,-95.973652,43.928399,1
265,-93.116148,44.059162,1
266,-93.481581,45.522434,1
267,-92.839221,43.739545,1
268,-93.998474,44.274575,1
269,-96.00743,47.158904,1
270,-95.201528,47.231973,1
271,-96.036052,48.114039,1
272,-95.743853,43.580108,1
273,-95.307755,47.289262,1
274,-96.479571,45.592625,1
275,-96.353808,47.187516,1
276,-96.073071,45.058963,1
277,-95.500112,45.665152,1
278,-95.304643,43.522292,1
279,-94.506235,46.187068,1
280,-92.219127,43.609015,1
281,-94.30299,46.106283,1
282,-92.039414,44.330069,1
283,-92.348769,43.999463,1
284,-95.35047,43.927573,1
285,-92.51936,44.560634,1
286,-94.670924,45.41952,1
287,-95.968102,44.378119,1
288,-95.497699,46.983894,1
289,-92.499267,43.797643,1
290,-93.179094,43.666432,1
