,X_WGS84,Y_WGS84,grass
2088,-118.18,36.48,1
1601,-118.179722,37.376111,1
2689,-118.1432,44.6944,1
2270,-118.12017,37.50863,1
287,-118.094828,33.750017,1
1616,-118.094322,37.209747,1
1751,-118.0864,42.5492,1
2090,-118.066667,34.366667,1
2091,-118.04,37.15,1
1697,-118.031752,37.413236,1
2664,-117.9436,44.3244,1
2473,-117.932149,34.355577,1
2667,-117.9164,45.565,1
2652,-117.9003,43.4647,1
2072,-117.899123,49.031666,1
2439,-117.7164,42.9083,1
2670,-117.716,43.5053,1
1893,-117.689,49.206,1
2227,-117.65,34.2406,1
1894,-117.64,49,1
1644,-117.61,49.06,1
1693,-117.5796,38.964,1
2418,-117.49,50.1,1
2264,-117.48893,33.48366,1
2550,-117.4524,42.0843,1
2659,-117.4061,45.3456,1
2230,-117.29167,34.21806,1
2669,-117.2818,45.7761,1
1491,-117.254762,43.292612,1
2190,-117.25226,32.83977,1
2191,-117.23896,33.03798,1
2545,-117.185072,57.224696,1
2198,-117.17924,33.39054,1
2651,-117.177,45.2624,1
2663,-117.1141,45.1154,1
1483,-117.0718,36.230944,1
2548,-117.0583,45.9566,1
2196,-117.0528,32.61394,1
1661,-117.0345,39.3952,1
2200,-117.02194,33.01583,1
2194,-116.99667,32.89556,1
1484,-116.990647,38.531669,1
1648,-116.904745,41.001104,1
2199,-116.90336,32.69249,1
2201,-116.83838,32.92704,1
2249,-116.8125,34.162222,1
2467,-116.783076,33.576694,1
1146,-116.74,49.5,1
2035,-116.716081,33.764611,1
2192,-116.65,32.9,1
2195,-116.6125,33.15833,1
438,-116.596663,33.603583,1
2197,-116.58557,32.98782,1
238,-116.5396,32.91888,1
2083,-116.460208,46.230144,1
254,-116.4567,33.585,1
2193,-116.44724,32.88727,1
2538,-116.430717,52.067083,1
2539,-116.392033,52.254117,1
2465,-116.349919,45.609872,1
2420,-116.3268,39.0424,1
2443,-116.146206,44.073243,1
688,-116.145852,34.03335,1
1681,-116.1211,42.7427,1
1665,-115.916964,39.387768,1
3345,-115.85,50.332,1
3340,-115.82,50.19,1
2395,-115.77,49.5,1
2256,-115.744033,49.795078,1
1191,-115.7358,36.4307,1
2397,-115.694,49.696,1
1496,-115.655128,36.354953,1
2414,-115.6476,49.55,1
1148,-115.612899,36.308956,1
1606,-115.599555,36.266075,1
1103,-115.592356,35.550884,1
1024,-115.5509,35.3147,1
1498,-115.53232,36.069522,1
504,-115.4642,36.0501,1
1145,-115.3,49.38,1
1254,-115.290265,35.266933,1
117,-115.29,35.27,1
882,-115.157897,35.573058,1
1256,-115.111825,36.622095,1
1679,-115.0894,38.4372,1
1479,-115.062714,38.274239,1
2542,-115.0459,51.0354,1
1647,-115.036993,37.812113,1
2544,-114.90065,54.275017,1
3344,-114.87,51.15,1
2549,-114.780018,50.596039,1
2095,-114.68978,39.186303,1
1614,-114.64067,39.482997,1
2049,-114.431055,51.179139,1
2438,-114.406242,37.527629,1
1070,-114.373277,51.159998,1
2445,-114.3522,42.2223,1
2373,-114.34708,49.86909,1
1121,-114.235189,51.119697,1
387,-114.207,33.2102,1
2283,-114.186819,51.096135,1
3339,-114.09,51.05,1
1123,-114.088718,51.011562,1
1355,-114.082602,53.87212,1
1698,-114.067812,43.305738,1
2064,-114.052312,46.811069,1
1588,-114.047439,51.13395,1
1119,-114.047286,51.133939,1
2326,-114.033198,46.662828,1
1619,-114.017621,50.910959,1
1093,-114.000792,36.280268,1
2202,-113.974472,46.909588,1
1137,-113.89,55.08,1
2411,-113.8913,55.08,1
1089,-113.889,35.0729,1
2292,-113.8856,35.0729,1
2284,-113.871528,49.069645,1
2649,-113.857782,44.197215,1
571,-113.854363,35.072855,1
497,-113.8543,37.0913,1
157,-113.8164,35.1836,1
2291,-113.805,36.7955,1
570,-113.791612,34.397675,1
2437,-113.725,41.72,1
2449,-113.6958,42.2506,1
2406,-113.6674,49.7,1
506,-113.5794,36.1434,1
1625,-113.572,36.8534,1
2415,-113.5675,43.72,1
1182,-113.5222,37.3955,1
1348,-113.5199,53.5373,1
507,-113.5062,38.4929,1
1673,-113.4854,37.2362,1
870,-113.455537,50.830253,1
1682,-113.4485,37.352,1
2276,-113.443423,46.943829,1
1630,-113.428,36.622,1
484,-113.398,34.6697,1
2479,-113.3806,34.7568,1
1196,-113.3705,37.7875,1
386,-113.356,33.8183,1
1684,-113.3388,41.9379,1
1351,-113.3349,53.8306,1
377,-113.251,34.4117,1
495,-113.2264,36.2725,1
1081,-113.226,36.3602,1
915,-113.222763,35.52248,1
902,-113.220732,52.986931,1
1650,-113.1533,37.4679,1
2440,-113.0955,42.8979,1
1074,-113.083,36.4625,1
1651,-113.0065,37.0039,1
1180,-113.0004,37.3475,1
1321,-112.985883,37.199925,1
1622,-112.976,36.4917,1
498,-112.9702,37.2514,1
893,-112.962363,51.93827,1
2541,-112.929611,53.707154,1
388,-112.889,36.5931,1
1080,-112.8892,36.5931,1
2510,-112.87597,49.09485,1
1620,-112.859873,49.700278,1
2024,-112.846192,49.679087,1
116,-112.821043,33.907268,1
1246,-112.82021,49.658096,1
873,-112.810292,51.237034,1
1059,-112.7752,51.471981,1
1623,-112.74,36.88,1
1242,-112.736678,35.293512,1
2302,-112.701,34.2816,1
365,-112.698,33.935,1
1169,-112.6568,37.1881,1
1197,-112.6211,37.7102,1
1711,-112.610238,36.51558,1
1627,-112.602,36.6654,1
1618,-112.576696,52.599566,1
1066,-112.575655,52.598875,1
383,-112.548,32.4545,1
1046,-112.521867,37.501112,1
492,-112.5201,38.259,1
1204,-112.522,38.259,1
390,-112.5,34.48,1
1082,-112.524,34.48,1
1056,-112.488769,42.918678,1
916,-112.428144,37.048036,1
1634,-112.392011,42.856579,1
385,-112.37,34.56,1
1075,-112.37,34.56,1
169,-112.363771,34.162642,1
496,-112.3479,38.0731,1
983,-112.256394,36.780688,1
572,-112.252295,34.112196,1
1144,-112.25,51.67,1
1729,-112.243017,51.924851,1
367,-112.212,33.2257,1
921,-112.211186,36.062074,1
1352,-112.208059,51.76897,1
2547,-112.196254,51.76897,1
1135,-112.192232,35.241449,1
1493,-112.192025,37.607219,1
1646,-112.1917,37.811221,1
1101,-112.18794,33.577991,1
1624,-112.183,35.9992,1
2304,-112.183,35.8978,1
1131,-112.171773,35.934265,1
1086,-112.160603,36.730159,1
992,-112.155654,35.327159,1
2422,-112.133056,37.642778,1
1589,-112.131817,36.494586,1
871,-112.130827,51.003403,1
1019,-112.1204,34.752945,1
2293,-112.118192,36.340898,1
501,-112.1061,34.752,1
891,-112.100165,36.052677,1
1631,-112.059625,37.584319,1
380,-112.054,34.9494,1
1138,-112.04,46.59,1
1297,-112.014296,35.263835,1
2924,-112.005306,34.75975,1
2451,-112.00156,54.97146,1
1255,-111.9825,34.734833,1
996,-111.973278,46.704414,1
2307,-111.972203,35.976195,1
1676,-111.9693,37.0293,1
888,-111.959367,37.492701,1
397,-111.95,33.4,1
1076,-111.953,33.4,1
432,-111.931008,36.013867,1
1122,-111.93102,36.013867,1
1678,-111.8745,37.6749,1
1628,-111.870331,35.535912,1
1663,-111.8425,37.1012,1
673,-111.80124,33.97599,1
573,-111.788608,33.848926,1
1710,-111.783017,36.991765,1
2294,-111.782,35.145,1
1054,-111.768001,47.195574,1
1592,-111.763392,36.743709,1
1078,-111.76,35.44,1
600,-111.758856,34.79775,1
1252,-111.752481,35.922294,1
2429,-111.7473,35.04,1
981,-111.732222,35.031667,1
2546,-111.7235,55.4021,1
2486,-111.7083,38.1142,1
3530,-111.704244,35.092771,1
1685,-111.6976,37.0868,1
1164,-111.668946,35.161004,1
1248,-111.666004,35.542659,1
2300,-111.64,34.76,1
369,-111.632,36.8389,1
445,-111.631805,36.653625,1
1154,-111.627852,37.788494,1
3441,-111.617749,35.221097,1
1611,-111.614266,35.154636,1
399,-111.60745,34.851623,1
1095,-111.607274,34.851623,1
2297,-111.604,35.1573,1
3371,-111.594369,35.130479,1
518,-111.581559,35.226092,1
379,-111.579,34.2684,1
1008,-111.570151,35.211065,1
1583,-111.567262,35.254167,1
1347,-111.5652,53.101817,1
2543,-111.560767,53.0848,1
1051,-111.560706,35.371824,1
1033,-111.493301,45.933132,1
382,-111.49,34.38,1
1349,-111.487383,50.7673,1
531,-111.459048,35.045077,1
503,-111.4496,37.7498,1
1692,-111.4392,43.4882,1
1653,-111.4237,38.9377,1
378,-111.416,33.4009,1
392,-111.409982,33.535251,1
683,-111.405,33.634,1
2308,-111.399614,40.986668,1
646,-111.380579,34.038512,1
1183,-111.3585,38.0095,1
1605,-111.34329,38.504322,1
2409,-111.34,51.55,1
2296,-111.337867,33.703167,1
364,-111.325,31.619,1
1257,-111.32444,34.272903,1
2431,-111.3039,38.096,1
1020,-111.272682,38.458483,1
1674,-111.255782,44.498256,1
1172,-111.2543,39.112,1
2648,-111.2414983,45.22812324,1
2435,-111.2375,39.659,1
1621,-111.215281,38.264143,1
1021,-111.172068,38.186698,1
1743,-111.1609939,45.07612477,1
2953,-111.158966,38.214124,1
1582,-111.151147,38.085982,1
176,-111.147118,32.273256,1
376,-111.122,31.8045,1
1672,-111.1035,37.7498,1
664,-111.098342,34.366182,1
366,-111.088,31.3992,1
1680,-111.085,41.4427,1
372,-111.078,33.5023,1
676,-111.049756,31.568859,1
1092,-111.039,33.9497,1
362,-111.0152,32.5015,1
1607,-111.003017,37.302159,1
2478,-110.9879,33.7629,1
1022,-110.956681,29.046731,1
174,-110.921347,32.23915,1
370,-110.92,33.921,1
375,-110.92,33.7629,1
2298,-110.92,33.9354,1
3203,-110.902,33.806,1
2534,-110.886155,58.191722,1
2303,-110.885,33.8204,1
616,-110.880562,32.420083,1
2531,-110.8721,53.343,1
2166,-110.871312,43.597168,1
384,-110.869,33.0977,1
391,-110.851,33.8348,1
1649,-110.8485,37.7642,1
602,-110.848329,31.496385,1
3619,-110.800819,50.335334,1
3444,-110.774111,37.17038,1
1073,-110.766,31.5311,1
124,-110.729042,31.551555,1
2587,-110.72311,43.729952,1
2434,-110.7059,42.1089,1
493,-110.6951,32.3312,1
2481,-110.69111,32.37417,1
1240,-110.689842,32.400729,1
294,-110.681462,32.134423,1
1660,-110.6767,39.975,1
374,-110.66,31.94,1
1072,-110.66,31.68,1
1091,-110.662,31.94,1
1067,-110.655272,50.040292,1
521,-110.645747,34.967958,1
1499,-110.63517,34.393877,1
389,-110.617,34.4884,1
1071,-110.6171,34.4884,1
1186,-110.6165,39.2717,1
464,-110.614883,35.888387,1
1160,-110.564944,34.396183,1
2285,-110.535129,45.701399,1
1198,-110.512,40.4968,1
706,-110.478095,31.592708,1
2537,-110.45359,49.612914,1
1213,-110.437479,31.107412,1
398,-110.418,31.8114,1
2598,-110.396156,43.853776,1
1739,-110.39577,43.852693,1
1645,-110.328851,40.583823,1
2301,-110.301,32.969,1
2305,-110.29825,31.42515,1
381,-110.278,34.973,1
395,-110.27795,31.43327,1
510,-110.275255,31.342944,1
1629,-110.2384,34.7756,1
3205,-110.235504,32.904041,1
1329,-110.226871,31.345592,1
394,-110.225,32.3322,1
2299,-110.218,32.8529,1
363,-110.18,32.9545,1
368,-110.161,31.6045,1
1079,-110.15,32.8818,1
371,-110.11,31.3874,1
1087,-110.09,34.17,1
1626,-110.091,34.17,1
628,-110.07685,32.058802,1
1126,-110.076125,32.059656,1
1727,-110.040283,49.679517,1
2529,-110.041,49.679517,1
1088,-110.038,34.7554,1
1083,-110.03,34.25,1
2055,-110.010081,52.583671,1
1090,-109.996,35.031,1
2028,-109.970752,50.581923,1
875,-109.970739,50.58191,1
1480,-109.956703,50.580935,1
1702,-109.9333,41.1794,1
1327,-109.892467,34.82236,1
393,-109.88,32.67,1
1659,-109.8677,39.7855,1
266,-109.865977,34.815242,1
1098,-109.85144,41.54084,1
1587,-109.829321,38.215873,1
1003,-109.826344,38.432678,1
2075,-109.812869,37.665667,1
881,-109.807543,34.888627,1
1212,-109.805279,35.051507,1
1608,-109.794186,34.974702,1
526,-109.790907,35.071317,1
1500,-109.783952,35.07993,1
489,-109.7742,37.1798,1
3522,-109.766293,34.922212,1
993,-109.759663,38.168024,1
219,-109.755853,34.93255,1
1502,-109.747904,37.659011,1
2436,-109.6917,40.9378,1
671,-109.645422,38.651952,1
1691,-109.6258,39.8573,1
1669,-109.5831,44.4618,1
2295,-109.57446,34.11159,1
1725,-109.574206,38.605014,1
1695,-109.5509,41.2804,1
396,-109.54,32.9,1
1174,-109.5273,38.0105,1
926,-109.52,38.54,1
2447,-109.503634,43.647194,1
1699,-109.5007,43.6484,1
1696,-109.4976,38.6731,1
686,-109.452445,32.155649,1
1168,-109.4406,38.1922,1
2480,-109.4375,33.97278,1
2423,-109.422036,37.782835,1
1077,-109.41,35.584,1
1178,-109.4024,39.5845,1
1658,-109.3858,40.9523,1
1335,-109.368322,32.008734,1
373,-109.36,34.5489,1
1084,-109.3601,34.5489,1
1323,-109.357795,31.86474,1
1102,-109.32675,33.63629,1
1190,-109.2967,38.5581,1
2080,-109.277838,31.873628,1
1307,-109.263884,31.933743,1
2499,-109.25,35.75,1
437,-109.228645,31.900569,1
1195,-109.2053,38.7019,1
1094,-109.18,33.99,1
1085,-109.168589,31.890401,1
1688,-109.1505,38.7163,1
2421,-109.12705,44.518283,1
2446,-109.0712,39.9161,1
1031,-109.051859,35.76235,1
994,-109.030353,28.37171,1
2896,-109.004862,37.77984,1
2151,-109.004824,40.530221,1
1668,-108.9965,40.5149,1
1177,-108.988377,38.524855,1
576,-108.97977,33.56685,1
901,-108.961964,50.361338,1
2519,-108.961454,53.393527,1
605,-108.92981,31.507355,1
1687,-108.9294,39.3458,1
1291,-108.927436,31.507413,1
2130,-108.921126,40.45895,1
1558,-108.917268,37.587601,1
1286,-108.907309,36.241957,1
137,-108.9018,38.190043,1
1675,-108.9009,44.1611,1
1556,-108.899543,40.461631,1
1708,-108.894713,39.049061,1
1564,-108.890673,40.71163,1
913,-108.881401,44.694226,1
2148,-108.870551,40.607094,1
2288,-108.861634,49.524984,1
1052,-108.847236,52.840768,1
290,-108.844086,32.626998,1
1683,-108.8237,38.4164,1
2500,-108.80456,31.576262,1
1155,-108.796312,33.12526,1
2125,-108.788145,40.471182,1
877,-108.785615,38.974029,1
1671,-108.7825,37.9444,1
3466,-108.778229,31.581976,1
1482,-108.778028,39.052133,1
1171,-108.7438,44.6007,1
1652,-108.74381,44.6007,1
2448,-108.7405,43.9542,1
1189,-108.7334,32.2179,1
2119,-108.728108,40.581922,1
1571,-108.713518,38.35821,1
146,-108.700656,39.10081,1
1289,-108.682,35.038,1
1217,-108.671132,38.227788,1
1703,-108.671048,38.227698,1
1586,-108.664899,39.017783,1
957,-108.662625,39.017478,1
517,-108.654414,32.937469,1
2143,-108.649468,40.447194,1
131,-108.648507,38.795467,1
880,-108.621825,45.751125,1
1543,-108.612052,38.500877,1
967,-108.590115,38.777923,1
2138,-108.563942,37.535803,1
1539,-108.557358,40.433482,1
2131,-108.555861,38.478381,1
441,-108.553017,31.444767,1
2152,-108.5495,37.23516,1
2155,-108.537933,37.628343,1
956,-108.53479,37.18682,1
2132,-108.526229,40.45107,1
1533,-108.494865,38.920112,1
1520,-108.48914,37.19855,1
895,-108.485,32.638,1
1133,-108.465963,33.467139,1
2154,-108.45738,38.426708,1
1159,-108.454027,30.841889,1
2442,-108.4496,35.5453,1
491,-108.4385,31.7695,1
874,-108.437954,47.678803,1
2156,-108.433533,37.742267,1
1039,-108.425142,37.303395,1
3341,-108.4,50.27,1
1218,-108.3823122,29.61405383,1
1584,-108.373895,38.650583,1
1016,-108.373192,31.071917,1
1290,-108.365104,31.427061,1
2913,-108.325401,38.673729,1
487,-108.3109,31.844,1
1559,-108.306297,40.126266,1
2147,-108.30621,40.126266,1
1732,-108.26347,40.56945,1
1311,-108.244901,32.897772,1
1192,-108.2258,43.8069,1
457,-108.1795,42.6887,1
958,-108.144973,38.052375,1
569,-108.1397,32.8151,1
1550,-108.1397,38.04967,1
2920,-108.138973,38.049922,1
1014,-108.137306,34.863972,1
592,-108.137,35.215,1
1223,-108.135667,29.241194,1
1561,-108.113423,39.079097,1
2102,-108.093808,37.783389,1
1283,-108.083772,35.176711,1
1222,-108.08167,30.3075,1
299,-108.077535,33.423241,1
1281,-108.051935,35.816142,1
1689,-108.0463,44.1587,1
590,-108.007128,35.106977,1
3465,-108.007122,35.106977,1
1247,-107.993646,36.315025,1
1565,-107.986227,38.912862,1
1199,-107.9536,33.012,1
1547,-107.950908,38.781093,1
1113,-107.948621,50.652035,1
866,-107.9136,42.9131,1
2117,-107.907927,39.115345,1
2452,-107.905985,33.438868,1
140,-107.88055,37.20299,1
1310,-107.871271,36.540814,1
1723,-107.869918,36.540894,1
597,-107.867,32.338,1
1581,-107.847822,40.002494,1
3459,-107.828,33.444,1
1700,-107.8257,43.6827,1
2186,-107.823321,38.444806,1
1136,-107.8,50.28,1
1718,-107.78,36.08,1
903,-107.767955,47.745759,1
1731,-107.7625,37.60305,1
1724,-107.762005,39.588216,1
2127,-107.761327,37.706046,1
1907,-107.744,36.691,1
2185,-107.7311,43.8589,1
2029,-107.729259,50.697473,1
500,-107.7239,36.531,1
1278,-107.704,36.039,1
195,-107.681996,32.909006,1
889,-107.681438,36.61237,1
886,-107.679558,33.912474,1
1028,-107.67627,38.020669,1
1210,-107.670535,33.73995,1
1026,-107.65872,49.202458,1
1615,-107.6584,49.202458,1
1613,-107.641272,36.870648,1
3442,-107.6286,32.0725,1
1165,-107.62165,34.104039,1
2275,-107.616988,36.971092,1
1330,-107.6136752,27.72940184,1
2123,-107.612552,37.643766,1
126,-107.603158,33.372419,1
2503,-107.60032,35.24672,1
159,-107.597186,32.087083,1
1554,-107.591056,38.745136,1
2133,-107.5868,37.14962,1
1287,-107.58232,35.28932,1
2432,-107.5739,44.0306,1
615,-107.555,32.938,1
2444,-107.5513,42.4527,1
1670,-107.5322,43.8367,1
465,-107.5045,33.3197,1
2485,-107.4507,33.5603,1
107,-107.429385,45.567418,1
964,-107.4143,38.45219,1
173,-107.405619,33.215183,1
197,-107.398733,32.458359,1
1324,-107.359002,38.939982,1
1545,-107.319601,37.159857,1
2140,-107.319633,37.159857,1
1721,-107.31535,34.621913,1
963,-107.309169,37.190405,1
1510,-107.29912,38.08217,1
2504,-107.277671,36.605543,1
976,-107.251719,39.398592,1
1641,-107.247942,38.521445,1
2110,-107.24338,38.38331,1
1013,-107.238527,34.151674,1
601,-107.237,32.801636,1
2112,-107.23209,38.47753,1
1603,-107.221871,39.473385,1
466,-107.1988,31.9247,1
1181,-107.1975,42.4527,1
1549,-107.196936,39.679481,1
241,-107.192977,33.573067,1
2142,-107.189913,39.680064,1
127,-107.178679,32.166196,1
1209,-107.173538,38.46814,1
1273,-107.168,36.048,1
990,-107.140786,32.486938,1
1288,-107.1078,33.3866,1
2039,-107.102372,39.370567,1
249,-107.092138,34.070836,1
2099,-107.06949,39.68872,1
201,-107.027261,32.809097,1
3454,-107.0199,36.0005,1
595,-107.019634,34.239355,1
1505,-106.99557,37.16918,1
1524,-106.961481,38.627332,1
1282,-106.941438,35.033442,1
2105,-106.9238,39.30123,1
1536,-106.91301,37.81028,1
2121,-106.90185,37.85211,1
614,-106.878,33.209,1
3240,-106.840501,35.52181,1
1633,-106.839619,35.502259,1
2496,-106.82407,36.079249,1
2575,-106.808451,41.442371,1
1726,-106.79676,49.612023,1
1150,-106.773301,35.137519,1
462,-106.767967,32.471855,1
1722,-106.767197,35.136756,1
598,-106.760912,34.212805,1
1557,-106.747711,39.922417,1
2281,-106.734054,51.936341,1
1580,-106.727778,36.5825,1
1284,-106.726479,35.88334,1
3538,-106.718702,51.979362,1
894,-106.717973,51.910642,1
978,-106.713662,39.971684,1
1569,-106.713463,38.569473,1
912,-106.706983,37.721363,1
2040,-106.701375,52.02952,1
868,-106.698716,52.029463,1
120,-106.685518,35.131024,1
611,-106.671227,32.361598,1
1147,-106.67,52.13,1
3343,-106.672,52.13,1
1118,-106.662667,38.526239,1
1609,-106.660408,35.066108,1
2495,-106.647715,35.028727,1
3035,-106.641128,35.19268,1
3464,-106.637849,35.950844,1
1570,-106.632959,39.880501,1
1717,-106.63,36.072,1
271,-106.618605,35.207897,1
1276,-106.6083,35.9889,1
905,-106.60742,35.1052,1
567,-106.6067,32.206,1
1002,-106.599717,52.220212,1
3461,-106.59461,35.82811,1
2273,-106.59442,35.817474,1
1294,-106.59217,32.38655,1
2081,-106.579423,49.069432,1
1275,-106.57608,35.83114,1
202,-106.575827,35.121597,1
896,-106.574,32.273,1
591,-106.572666,32.322737,1
589,-106.555722,32.677167,1
593,-106.5135,32.535511,1
2498,-106.51353,32.535511,1
603,-106.51078,31.937708,1
2113,-106.510425,38.560745,1
648,-106.504784,31.770834,1
914,-106.497073,35.097104,1
2501,-106.49325,35.96817,1
460,-106.491433,35.332458,1
1514,-106.48894,38.19351,1
2033,-106.480856,50.965273,1
876,-106.480833,50.964996,1
2306,-106.475,35.8333,1
1481,-106.474591,50.96281,1
1285,-106.47248,36.330114,1
1715,-106.4714434,34.99862338,1
164,-106.471007,35.15258,1
3452,-106.463,35.299,1
2508,-106.449519,35.21051,1
924,-106.448028,35.33077,1
1057,-106.427216,44.423897,1
2157,-106.414473,35.663918,1
999,-106.409572,35.666695,1
2433,-106.3932,37.5539,1
163,-106.382741,35.075438,1
1308,-106.377316,35.181505,1
1719,-106.361728,35.10293,1
1664,-106.3567,37.6703,1
