,X_WGS84,Y_WGS84,hescom
209,-119.4274,38.8453,1
210,-119.3144,46.3528,1
211,-109.3858,40.9523,1
212,-109.8677,39.7855,1
213,-110.6767,39.975,1
214,-117.0345,39.3952,1
215,-104.94997,42.41608,1
216,-111.8425,37.1012,1
217,-106.3567,37.6703,1
218,-115.916964,39.387768,1
219,-119.114636,37.94515,1
220,-96.9627,40.0963,1
221,-108.9965,40.5149,1
222,-109.5831,44.4618,1
223,-107.5322,43.8367,1
224,-108.7825,37.9444,1
225,-111.1035,37.7498,1
226,-113.4854,37.2362,1
227,-111.255782,44.498256,1
228,-108.9009,44.1611,1
229,-111.9693,37.0293,1
230,-101.859473,41.488724,1
231,-111.8745,37.6749,1
232,-115.0894,38.4372,1
233,-111.085,41.4427,1
234,-116.1211,42.7427,1
235,-113.4485,37.352,1
236,-108.8237,38.4164,1
237,-113.3388,41.9379,1
238,-111.6976,37.0868,1
239,-105.5892,43.4207,1
240,-108.9294,39.3458,1
241,-109.1505,38.7163,1
242,-108.0463,44.1587,1
243,-119.311983,39.644242,1
244,-109.6258,39.8573,1
245,-111.4392,43.4882,1
246,-117.5796,38.964,1
247,-104.0028,37.0392,1
248,-109.5509,41.2804,1
249,-109.4976,38.6731,1
250,-118.031752,37.413236,1
251,-114.067812,43.305738,1
252,-109.5007,43.6484,1
253,-107.8257,43.6827,1
254,-121.156,45.6266,1
255,-109.9333,41.1794,1
256,-108.671048,38.227698,1
257,-119.855379,40.187922,1
258,-105.199833,39.666616,1
259,-105.686,36.657,1
260,-118.901729,38.556631,1
261,-108.894713,39.049061,1
262,-119.007727,38.421607,1
263,-111.783017,36.991765,1
264,-112.610238,36.51558,1
265,-103.091195,36.361583,1
266,-103.04353,36.24725,1
267,-103.367472,35.406862,1
268,-106.4714434,34.99862338,1
269,-104.8898,41.544,1
270,-106.63,36.072,1
271,-107.78,36.08,1
272,-106.361728,35.10293,1
273,-106.179,35.615,1
274,-107.31535,34.621913,1
275,-106.767197,35.136756,1
276,-107.869918,36.540894,1
277,-107.762005,39.588216,1
278,-109.574206,38.605014,1
279,-106.79676,49.612023,1
280,-110.040283,49.679517,1
281,-120.595,47.57091,1
282,-112.243017,51.924851,1
283,-99.267278,49.689972,1
284,-107.7625,37.60305,1
285,-108.26347,40.56945,1
286,-103.80971,41.22171,1
287,-103.58657,41.68842,1
288,-119.9155,42.3894,1
289,-105.62402,42.4073,1
290,-101.80657,39.76607,1
291,-101.631964,37.207019,1
292,-110.39577,43.852693,1
293,-101.8234,37.11612,1
294,-101.78943,38.00348,1
295,-100.92615,38.67433,1
296,-111.1609939,45.07612477,1
297,-101.95417,37.04508,1
298,-101.026133,37.878968,1
299,-103.103994,41.523169,1
300,-100.56139,39.97885,1
301,-101.492715,37.304306,1
302,-102.003031,39.665732,1
303,-101.7727,39.1835,1
304,-118.0864,42.5492,1
305,-121.1259,44.2454,1
306,-165.86,65.56,0
307,-165.4,64.92,0
308,-165.02,65.79,0
309,-164.41,62.18,0
310,-164.15,68.42,0
311,-163.99,60.77,0
312,-163.69,61.68,0
313,-163.27,60.73,0
314,-163.23,67.81,0
315,-163.19,62.33,0
316,-163,65.22,0
317,-162.81,61.35,0
318,-162.74,68.92,0
319,-162.51,61.03,0
320,-162.4,61.95,0
321,-162.36,67.32,0
322,-162.2,62.71,0
323,-162.17,69.52,0
324,-161.94,68.49,0
325,-161.79,60.73,0
326,-161.75,61.72,0
327,-161.25,68.5,0
328,-161.21,59.74,0
329,-161.18,60.35,0
330,-161.14,69.45,0
331,-160.99,62.02,0
332,-160.91,65.3,0
333,-160.87,61.3,0
334,-160.68,67.62,0
335,-160.45,63.17,0
336,-160.23,66.52,0
337,-160.19,69.41,0
338,-160.03,60.04,0
339,-159.92,68.46,0
340,-159.81,61.11,0
341,-159.77,62.44,0
342,-159.65,56.28,0
343,-159.59,66.45,0
344,-159.58,67.32,0
345,-159.46,64.38,0
346,-159.35,65.64,0
347,-159.35,61.87,0
348,-159.31,60.46,0
