,X_WGS84,Y_WGS84,helmax
206,-92.384603,47.890748,1
207,-95.013451,48.778711,1
208,-91.508053,47.122108,1
209,-95.614333,44.695497,1
210,-95.965301,47.463121,1
211,-95.37146,47.173327,1
212,-92.641766,47.781073,1
213,-95.748005,45.810665,1
214,-96.414416,46.521816,1
215,-96.417356,47.056714,1
216,-94.235945,47.332848,1
217,-94.488027,44.724624,1
218,-96.333183,46.420332,1
219,-92.219269,43.637724,1
220,-96.248119,47.622259,1
221,-95.987018,45.985074,1
222,-95.962931,43.652438,1
223,-97.205109,48.995724,1
224,-96.291139,44.233735,1
225,-93.673225,46.062223,1
226,-92.058733,47.09028,1
227,-95.743853,43.580108,1
228,-91.458772,47.737031,1
229,-94.7419,44.75333,1
230,-93.685104,45.494037,1
231,-91.696618,47.306811,1
232,-91.750486,47.684484,1
233,-96.720025,38.265621,1
234,-106.294633,35.906092,1
235,-104.961468,39.732207,1
236,-97.476136,35.508839,1
237,-98.488357,29.505488,1
238,-97.392944,35.186908,1
239,-97.843523,32.139386,1
240,-92.101148,44.397792,1
241,-83.45216,41.86782,1
242,-84.176613,41.78755,1
243,-83.726329,42.270872,1
244,-83.48159,45.06878,1
245,-118.51,50.96,1
246,-114.09,51.05,1
247,-103.85,49.67,1
248,-123.13,49.24,1
249,-122.65,49.2,1
250,-92.5,48.5,1
251,-88.5,49.5,1
252,-117.09,51.44,1
253,-101.25,53.83,1
254,-98.023645,30.507387,1
255,-98.279497,30.5792,1
256,-108.692166,45.689088,1
257,-106.616883,35.084259,1
258,-98.375075,40.606605,1
259,-98.171775,29.64573,1
260,-98.255662,30.29085,1
261,-96.082307,33.408219,1
262,-98.390749,33.761158,1
263,-98.413604,30.274778,1
264,-96.786095,33.708058,1
265,-87.528933,45.636289,1
266,-97.613214,30.557711,1
267,-105.365,44.8873,1
268,-96.7017,41.749,1
269,-103.486887,43.442373,1
270,-96.566,39.2382,1
271,-96.879287,33.114742,1
272,-93.265892,44.991147,1
273,-98.446495,29.319568,1
274,-93.169934,45.158379,1
275,-97.497302,33.458876,1
276,-92.23568,38.588447,1
277,-97.423163,37.720917,1
278,-97.136056,50.174333,1
279,-96.607468,32.754283,1
280,-104.401685,33.457074,1
281,-98.108753,32.246697,1
282,-97.474682,33.710529,1
283,-96.064254,46.265271,1
284,-94.881037,37.880488,1
285,-98.512976,33.912096,1
286,-96.32235,30.629542,1
287,-96.240898,33.164925,1
288,-96.959472,32.496757,1
289,-104.6796,36.01012,1
290,-106.119334,35.552938,1
291,-103.82723,36.05608,1
292,-98.440453,29.966455,1
293,-97.478308,35.271111,1
294,-97.576827,46.920166,1
295,-96.422924,36.846143,1
296,-81.405846,41.321,1
297,-94.37627,45.55849,1
298,-96.905363,29.742172,1
299,-97.661166,29.642004,1
300,-95.606102,30.69719,1
301,-96.981538,30.672407,1
302,-104.721521,50.565864,1
303,-96.370697,30.307985,1
304,-97.3233,49.84101,1
305,-95.023795,45.313219,1
306,-94.895964,38.879547,1
307,-84.225163,39.654872,1
308,-95.459131,29.654138,1
309,-95.611827,29.355634,1
310,-97.931878,29.891328,1
