,X_WGS84,Y_WGS84,potarg
1,-96.41820573,45.24589641,1
2,-95.89682629,46.03540757,1
3,-96.53482271,44.75182678,1
4,-96.1569574,48.45754855,1
5,-95.53464601,45.58492171,1
6,-97.34998134,46.44864202,1
7,-96.42719507,47.05247072,1
8,-96.26623286,44.99262292,1
9,-99.15047072,44.39868407,1
10,-96.25775884,48.66938334,1
11,-96.02328792,48.52329327,1
12,-99.07378091,46.54677512,1
13,-98.88676414,46.01921751,1
14,-96.51329817,48.5629662,1
15,-99.49425439,46.45254392,1
16,-96.0039538,45.7459766,1
17,-95.69470041,45.55942609,1
18,-96.00855312,45.15057322,1
19,-96.37669863,45.33152074,1
20,-96.21513041,46.68969214,1
21,-96.4000315,48.6429042,1
22,-99.31006735,44.81755962,1
23,-96.41703034,45.06073066,1
24,-96.48494085,48.78991662,1
25,-96.36659433,47.20743761,1
26,-96.68596102,48.90809756,1
27,-95.15176223,45.39946004,1
28,-95.60626904,46.20551088,1
29,-96.44423205,47.73372067,1
30,-95.74213819,46.10792734,1
31,-96.56802982,48.35705293,1
32,-97.37108756,46.35457532,1
33,-99.6241174,44.98018904,1
34,-99.12840469,45.71630185,1
35,-96.55865944,45.45931748,1
36,-97.24376821,46.37876804,1
37,-96.95593273,46.11954277,1
38,-96.49088035,47.99373338,1
39,-99.23721897,46.42141303,1
40,-96.28579061,44.86529594,1
41,-96.17595892,47.19719899,1
42,-99.19496597,46.3024315,1
43,-96.47304006,46.85559733,1
44,-97.11113666,46.51449398,1
45,-79.607338,43.529992,1
46,-89.525949,42.998305,1
47,-89.340417,41.905122,1
48,-107.211006,38.860005,1
49,-88.7042,44.378661,1
50,-89.341215,43.103902,1
51,-106.527853,52.16978,1
52,-88.109274,42.101484,1
53,-88.930223,42.189021,1
54,-93.640022,45.184805,1
55,-88.197027,41.388231,1
56,-91.287193,43.928014,1
57,-115.087914,51.121156,1
58,-89.483167,43.12306,1
59,-109.968975,50.58173,1
60,-92.118133,44.544472,1
61,-135.324722,60.884931,1
62,-114.410767,43.808012,1
63,-100.218119,50.771265,1
64,-94.969566,46.955885,1
65,-105.617087,40.349524,1
66,-109.104435,49.334712,1
67,-88.391794,42.861882,1
68,-96.411523,47.609013,1
69,-94.8244,46.97298,1
70,-107.010192,38.871963,1
71,-93.945674,44.88433,1
72,-87.894879,43.030602,1
73,-106.476268,50.963295,1
74,-88.362985,41.875926,1
75,-90.77395,47.629586,1
76,-91.856005,47.912622,1
77,-89.041784,42.571705,1
78,-92.959767,44.686491,1
79,-90.181111,43.151936,1
80,-112.436629,42.778796,1
81,-112.508936,47.276979,1
82,-76.075122,44.101017,1
83,-93.031808,44.501475,1
84,-94.053447,44.953728,1
85,-92.91226,44.886151,1
86,-93.355606,45.263614,1
87,-89.724253,43.413157,1
88,-89.773374,43.138953,1
89,-89.354582,42.730584,1
90,-92.369766,46.653828,1
91,-91.093399,47.417022,1
