,X_WGS84,Y_WGS84,verstr
209,-92.042698,42.211092,1
210,-89.099732,42.83868,1
211,-94.667966,43.130089,1
212,-93.224836,42.122552,1
213,-97.46134,40.373204,1
214,-91.525237,41.645858,1
215,-94.72491,45.355684,1
216,-96.174173,41.21142,1
217,-87.194182,41.160989,1
218,-91.479999,42.348679,1
219,-100.120246,41.529877,1
220,-89.369188,40.986105,1
221,-93.699566,45.491127,1
222,-85.86846,42.872455,1
223,-83.690695,42.277164,1
224,-84.248068,43.629144,1
225,-89.568462,43.367275,1
226,-96.617227,41.243089,1
227,-86.265136,43.121253,1
228,-99.333144,43.810265,1
229,-97.092432,38.936461,1
230,-84.520923,42.708449,1
231,-94.544443,41.789907,1
232,-101.062274,43.299486,1
233,-105.034041,39.548941,1
234,-104.723737,40.413679,1
235,-87.899589,42.269923,1
236,-93.349651,45.076318,1
237,-75.545484,40.806927,1
238,-81.619977,40.683193,1
239,-98.469737,40.900658,1
240,-97.97546,29.507072,1
241,-99.769382,41.664068,1
242,-96.294673,41.018272,1
243,-88.165724,41.198337,1
244,-96.80892,33.882135,1
245,-79.724456,43.608753,1
246,-88.252386,44.274897,1
247,-103.586332,43.780554,1
248,-95.819341,35.74763,1
249,-92.344226,44.537878,1
250,-89.341567,43.104953,1
251,-88.117995,41.728737,1
252,-87.2072,41.624428,1
253,-97.625941,38.372844,1
254,-87.880186,45.360842,1
255,-89.265975,42.110806,1
256,-89.853235,40.153072,1
257,-88.209037,40.126648,1
258,-88.23272,41.699792,1
259,-93.082491,44.684747,1
260,-102.233688,43.869259,1
261,-88.61,40.57,1
262,-99.601137,39.496472,1
263,-91.121512,42.921016,1
264,-102.31231,39.78938,1
265,-102.3059,39.48178,1
266,-102.182821,39.605353,1
267,-103.153254,40.925262,1
268,-102.46684,39.74718,1
269,-103.60244,40.91306,1
270,-102.18498,39.88559,1
271,-103.25233,40.16009,1
272,-102.98444,39.28472,1
273,-102.50108,39.49747,1
274,-103.35889,37.17577,1
275,-77.995441,44.107994,1
276,-100.027401,42.783562,1
277,-97.938747,46.550768,1
278,-101.743031,43.32544,1
279,-96.95181,42.714743,1
280,-95.7778,37.2556,1
281,-89.813088,43.236647,1
282,-77.10115,44.351912,1
283,-78.827606,43.931159,1
284,-80.403761,42.670925,1
285,-81.239465,43.029877,1
286,-90.003124,38.789751,1
287,-87.767038,41.700676,1
288,-89.25618,42.343697,1
289,-87.856357,42.11212,1
290,-90.866952,44.111437,1
291,-94.398108,35.918983,1
292,-93.76783,45.155524,1
293,-102.164078,43.97842,1
294,-90.25524,42.915438,1
295,-79.340483,44.099906,1
296,-84.043312,42.345327,1
297,-93.98298,41.420807,1
298,-86.512504,46.060693,1
299,-84.121195,44.112452,1
300,-89.374624,43.966361,1
301,-95.648495,44.895869,1
302,-96.476428,43.057846,1
303,-81.676876,41.482334,1
304,-103.45496,43.878556,1
305,-88.482507,41.808776,1
306,-96.541797,43.55414,1
307,-76.34825,42.96862,1
308,-93.727649,41.674383,1
309,-97.854163,38.119321,1
310,-92.962228,44.800922,1
311,-87.803468,42.439095,1
312,-96.848395,40.736397,1
313,-83.158578,43.599097,1
314,-80.082061,43.336054,1
315,-78.741245,44.341039,1
316,-89.194606,42.211047,1
317,-87.582023,41.084878,1
318,-93.355667,45.2632,1
319,-77.059903,45.851661,1
320,-79.462296,43.651196,1
321,-99.213717,41.847974,1
322,-89.87709,43.694999,1
323,-77.257878,43.90499,1
324,-89.77149,40.5227,1
325,-92.112184,46.802683,1
326,-103.708284,41.828627,1
327,-93.638192,42.073017,1
328,-94.771867,45.140358,1
329,-89.368868,40.794206,1
330,-88.182518,41.597235,1
331,-87.949958,41.88565,1
332,-87.829993,41.860929,1
333,-88.317776,41.360529,1
334,-90.395358,42.40189,1
335,-89.018619,42.327028,1
336,-95.629353,39.910534,1
337,-89.870057,40.390417,1
338,-94.38872,45.594765,1
339,-89.485545,43.122952,1
340,-88.322829,42.916159,1
341,-101.390619,47.359989,1
342,-87.872635,42.676065,1
343,-89.323451,41.886553,1
344,-94.763487,43.750237,1
345,-90.150253,38.699606,1
346,-78.239346,44.497167,1
347,-90.769764,43.574391,1
348,-103.571968,43.439729,1
349,-78.087539,44.17488,1
350,-78.384108,44.594917,1
351,-96.36327,36.75242,1
352,-83.615267,43.041832,1
353,-85.930291,44.505269,1
354,-88.013546,42.353401,1
355,-89.762561,43.484799,1
356,-92.654187,45.066499,1
357,-89.2574,35.497008,1
358,-90.920083,39.019506,1
359,-93.533974,45.259621,1
360,-89.766324,42.845129,1
361,-96.213455,42.751307,1
362,-94.47834,44.315194,1
363,-90.181773,43.151754,1
364,-79.942847,44.039147,1
365,-86.440748,41.337679,1
366,-93.943112,41.229319,1
367,-92.405076,43.986451,1
368,-89.983432,40.148522,1
369,-96.591856,39.083325,1
370,-93.622567,41.840563,1
371,-89.13339,40.34984,1
372,-104.971802,38.039656,1
373,-100.362598,35.936854,1
374,-96.356447,45.333651,1
375,-91.42281,43.767743,1
376,-95.049967,44.086452,1
377,-95.921915,44.337725,1
378,-91.839982,43.681109,1
379,-92.213261,43.643811,1
380,-95.699254,44.262693,1
381,-95.551794,44.798671,1
382,-95.064623,43.72505,1
383,-92.813616,44.768807,1
384,-93.665482,43.512074,1
385,-96.28013,45.230649,1
386,-89.683225,43.123326,1
387,-103.660251,41.707257,1
388,-103.478183,43.556068,1
389,-104.961468,39.732207,1
390,-78.627802,44.155282,1
391,-103.573023,43.337221,1
392,-92.029628,44.562113,1
393,-96.696927,38.332735,1
394,-92.101148,44.397792,1
395,-89.490767,40.671655,1
396,-84.39389,42.79171,1
397,-85.06124,44.89517,1
398,-85.882456,44.678442,1
399,-84.98169,44.46584,1
400,-84.610596,45.541052,1
401,-84.029749,42.452885,1
402,-85.966261,44.902888,1
403,-83.44156,45.0835,1
404,-85.30747,42.32581,1
405,-87.614274,45.107763,1
406,-86.020924,45.108319,1
407,-85.361787,44.57533,1
408,-84.7557,44.77861,1
409,-91.193005,37.005357,1
410,-89.627288,39.707925,1
411,-98.059997,42.759237,1
412,-97.606362,35.450388,1
413,-96.9414,34.50481,1
414,-95.455211,38.906058,1
415,-98.519255,34.681449,1
416,-103.45096,43.644069,1
417,-96.7518,40.6184,1
418,-77.201424,44.698191,1
419,-89.305154,41.689094,1
420,-88.222018,42.209614,1
421,-91.605788,44.000358,1
422,-94.070909,45.361616,1
423,-89.89134,41.444343,1
424,-92.849853,37.938041,1
425,-79.541944,44.027778,1
426,-96.018613,41.432797,1
427,-70.522362,41.593913,1
428,-87.586288,41.653245,1
429,-76.237472,44.781864,1
430,-89.380749,43.321933,1
431,-96.075614,46.282102,1
432,-93.35529,41.986797,1
433,-89.636474,43.982447,1
434,-88.990172,41.321153,1
435,-97.101329,37.568964,1
436,-89.647976,43.292495,1
437,-87.55958,41.768554,1
438,-89.90077,43.922044,1
439,-93.081353,45.206309,1
440,-88.949091,40.505699,1
441,-91.923459,44.264147,1
442,-95.282192,45.440742,1
443,-88.861938,41.767567,1
444,-88.68368,42.008066,1
445,-90.633654,42.461771,1
446,-80.837232,44.064808,1
447,-89.441664,43.234778,1
448,-94.363893,44.892156,1
449,-93.861614,41.606752,1
450,-94.12418,41.296328,1
451,-88.315017,42.148217,1
452,-93.937135,42.037936,1
453,-93.751602,45.354738,1
454,-89.341168,43.704936,1
455,-93.51408,44.820873,1
456,-90.795037,43.096542,1
457,-90.048976,40.574764,1
458,-89.163365,40.652093,1
459,-89.807178,43.105489,1
460,-92.895386,41.45887,1
461,-96.558734,38.454443,1
462,-97.265821,37.745066,1
463,-93.74025,38.767431,1
464,-78.171179,44.095172,1
465,-84.697337,39.302292,1
466,-77.31667,44.467356,1
467,-80.318585,43.160059,1
468,-78.132866,44.620487,1
469,-86.104317,44.727816,1
470,-89.150517,43.967417,1
471,-90.059015,43.201732,1
472,-90.680489,43.132109,1
473,-89.628563,43.033423,1
474,-88.075066,41.83878,1
475,-93.493397,42.66733,1
476,-88.177755,41.507063,1
477,-91.522265,44.808032,1
478,-88.192513,42.493851,1
479,-85.765218,44.376241,1
480,-78.606891,44.06126,1
481,-96.309168,44.221641,1
482,-96.820516,44.947464,1
483,-97.945842,37.677687,1
484,-89.043735,40.640361,1
485,-77.90362,44.667882,1
486,-79.898187,43.274026,1
487,-94.058613,41.752988,1
488,-92.854275,44.654134,1
489,-89.32507,41.205975,1
490,-90.825731,41.433428,1
491,-94.295734,44.718476,1
492,-88.127775,42.634212,1
493,-77.550817,44.454591,1
494,-92.788305,41.706593,1
495,-85.309525,42.444542,1
496,-96.32124,44.01369,1
497,-97.352048,38.031005,1
498,-93.885475,44.541639,1
499,-88.387089,41.721877,1
500,-103.853983,43.728259,1
501,-100.286584,44.340648,1
502,-88.738451,41.674773,1
503,-101.245734,47.57923,1
504,-94.22234,43.10423,1
505,-97.678473,37.536102,1
506,-95.87139,39.05659,1
507,-101.942435,43.748919,1
508,-97.3289,44.9825,1
509,-99.528543,39.391475,1
510,-103.776228,44.034213,1
511,-93.383177,42.45051,1
512,-94.910901,39.356391,1
513,-97.657211,39.590123,1
514,-95.2316,39.04398,1
515,-97.05537,37.70736,1
516,-96.62962,37.13791,1
517,-95.09077,37.03715,1
518,-94.81244,38.14323,1
519,-100.79354,38.7624,1
520,-98.41848,37.28565,1
521,-95.413548,39.470583,1
522,-98.24782,39.78711,1
523,-98.56919,38.17669,1
524,-95.53966,39.66427,1
525,-97.5173,37.85065,1
526,-98.33033,39.461618,1
527,-103.37106,43.97394,1
528,-95.28496,38.57075,1
529,-101.36094,38.7891,1
530,-97.539861,39.677286,1
531,-95.21544,37.73777,1
532,-95.76514,39.76135,1
533,-98.070469,39.99036,1
534,-97.24752,39.84453,1
535,-95.528349,39.825877,1
536,-95.08961,39.2884,1
537,-97.128126,39.356836,1
538,-97.84876,37.45731,1
539,-95.629249,37.7439,1
540,-94.708493,37.067582,1
541,-96.52044,39.81936,1
542,-98.40466,38.58889,1
543,-97.42753,38.43094,1
544,-95.164124,37.316568,1
545,-96.817351,39.208277,1
546,-97.271128,37.602588,1
547,-94.987465,38.937465,1
548,-98.733424,38.505431,1
549,-95.680455,38.590866,1
550,-96.460593,39.064234,1
551,-95.516602,39.528552,1
552,-97.989,38.60246,1
553,-101.64229,39.80656,1
554,-100.26743,37.28564,1
555,-97.08568,39.65814,1
556,-98.16304,38.72422,1
557,-97.862338,39.911091,1
558,-96.98679,37.11073,1
559,-99.00241,38.92356,1
560,-94.99815,38.59968,1
561,-96.66106,39.92099,1
562,-97.88538,39.65993,1
563,-95.73198,37.66083,1
564,-94.99125,38.31457,1
565,-97.20438,39.53987,1
566,-100.45016,38.48224,1
567,-96.02619,39.13404,1
568,-94.77699,37.14217,1
569,-100.01885,37.75964,1
570,-99.78261,37.39598,1
571,-99.86918,38.45558,1
572,-94.81819,37.60349,1
573,-97.25915,37.44719,1
574,-95.96322,39.36868,1
575,-95.70261,39.16521,1
576,-95.5377,39.04492,1
577,-94.72902,38.02383,1
578,-96.73267,37.52178,1
579,-95.2316,38.90627,1
580,-101.79993,39.80019,1
581,-96.56692,38.67264,1
582,-97.28341,39.31539,1
583,-101.88227,37.16042,1
584,-96.02685,39.96171,1
585,-98.00252,39.05747,1
586,-95.15517,38.08367,1
587,-98.68077,37.62928,1
588,-96.98205,38.32421,1
589,-96.08188,37.3769,1
590,-96.58732,38.36698,1
591,-96.32347,39.20432,1
592,-97.41742,39.21957,1
593,-96.413339,39.470623,1
594,-97.590622,39.830652,1
595,-98.76018,38.00482,1
596,-98.631863,37.728973,1
597,-95.52654,38.4921,1
598,-96.52327,37.61603,1
599,-99.42093,38.26834,1
600,-96.525571,39.230551,1
601,-96.20645,38.62691,1
602,-98.582145,37.30172,1
603,-101.87962,39.7097,1
604,-101.22178,38.92682,1
605,-100.5957,38.48224,1
606,-98.14724,39.20131,1
607,-97.793578,39.070465,1
608,-100.925833,38.681801,1
609,-100.116063,39.37389,1
610,-99.57019,39.68447,1
611,-96.85632,37.81876,1
612,-95.95987,38.41234,1
613,-98.57889,38.35572,1
614,-95.24319,37.48385,1
615,-95.68496,38.69632,1
616,-98.42233,38.78443,1
617,-100.52795,39.82209,1
618,-95.81223,39.46486,1
619,-95.13147,38.27179,1
620,-99.75795,39.64944,1
621,-95.178004,39.633777,1
622,-95.7168,37.37328,1
623,-97.46197,38.96958,1
624,-97.581292,38.078645,1
625,-100.85234,38.85381,1
626,-98.97383,39.65749,1
627,-95.4361,37.92084,1
628,-103.36355,43.71645,1
629,-95.908075,37.619765,1
630,-95.18048,37.63677,1
631,-100.59334,37.05866,1
632,-94.861,37.00934,1
633,-94.89017,38.78104,1
634,-99.84569,39.16371,1
635,-95.3913,39.09568,1
636,-100.967364,38.834498,1
637,-96.63053,37.46187,1
638,-95.60842,38.36777,1
639,-165.86,65.56,0
640,-165.4,64.92,0
641,-165.02,65.79,0
642,-164.41,62.18,0
643,-164.15,68.42,0
644,-163.99,60.77,0
645,-163.69,61.68,0
646,-163.27,60.73,0
647,-163.23,67.81,0
648,-163.19,62.33,0
649,-163,65.22,0
