,X_WGS84,Y_WGS84,schsco
206,-105.295255,38.908029,1
207,-103.153254,40.925262,1
208,-103.466128,37.011328,1
209,-105.144689,39.577855,1
210,-104.68579,37.12738,1
211,-105.010222,36.764861,1
212,-102.35361,38.81583,1
213,-102.839067,39.793792,1
214,-104.959208,38.8505,1
215,-102.59739,40.94752,1
216,-102.501344,39.49732,1
217,-108.325401,38.673729,1
218,-103.50611,38.715,1
219,-106.2477,37.61272,1
220,-105.33889,40.43246,1
221,-103.95558,37.30338,1
222,-105.441537,40.202495,1
223,-103.274037,38.808838,1
224,-108.138973,38.049922,1
225,-105.828371,37.112527,1
226,-105.002444,36.925028,1
227,-104.473278,36.868833,1
228,-112.005306,34.75975,1
229,-96.971781,29.270633,1
230,-98.492766,38.918921,1
231,-97.419758,29.891999,1
232,-104.81246,38.912257,1
233,-95.082436,29.761108,1
234,-105.063325,39.429538,1
235,-83.030771,42.330337,1
236,-97.561506,32.743642,1
237,-81.727507,43.805093,1
238,-74.766644,39.874515,1
239,-87.574947,41.782328,1
240,-104.8429,32.132657,1
241,-98.557181,27.114554,1
242,-89.018153,42.669965,1
243,-81.180095,43.039769,1
244,-89.840108,39.973736,1
245,-105.544547,32.917675,1
246,-104.716614,44.599411,1
247,-78.931339,43.929663,1
248,-87.816357,42.364395,1
249,-88.19246,42.49318,1
250,-97.706712,33.654365,1
251,-97.487158,30.922779,1
252,-98.540604,34.757076,1
253,-97.351277,38.157961,1
254,-72.180161,41.756971,1
255,-86.551337,40.17175,1
256,-75.189287,39.954408,1
257,-111.158966,38.214124,1
258,-81.292133,41.755723,1
259,-85.632872,35.806988,1
260,-83.138772,35.080772,1
261,-89.63076,39.870965,1
262,-88.909578,41.325671,1
263,-76.390825,39.928165,1
264,-97.220789,27.626433,1
265,-89.276642,42.990951,1
266,-89.904299,43.3435,1
267,-106.239067,32.795228,1
268,-89.876274,43.694442,1
269,-86.403267,36.084831,1
270,-87.303467,36.562195,1
271,-88.517395,35.0426,1
272,-85.618278,36.138083,1
273,-87.794242,35.889513,1
274,-85.523408,34.516663,1
275,-76.818956,34.903774,1
276,-92.96984,34.66577,1
277,-95.463015,31.324692,1
278,-93.622576,41.838592,1
279,-97.738966,30.289826,1
280,-97.066576,32.824821,1
281,-83.123556,36.651354,1
282,-74.17501,40.740038,1
283,-79.366717,35.148137,1
284,-87.125878,32.315742,1
285,-84.742837,36.118717,1
286,-98.511575,29.666898,1
287,-87.821197,30.242042,1
288,-97.405186,32.610848,1
289,-69.969443,43.896799,1
290,-91.98483,33.5802,1
291,-75.294773,39.746411,1
292,-84.750338,29.718101,1
293,-89.455309,40.732994,1
294,-92.235488,38.588172,1
295,-88.942597,30.618117,1
296,-74.521788,40.702426,1
297,-74.562289,40.509491,1
298,-70.506525,41.783753,1
299,-97.181605,32.300414,1
300,-75.218513,39.37311,1
301,-79.86618,43.289166,1
302,-75.947473,39.739084,1
303,-79.544937,40.305832,1
304,-70.648933,43.377555,1
305,-101.986047,45.482267,1
306,-84.415215,35.927962,1
307,-93.092223,30.571447,1
308,-101.45672,34.54165,1
309,-94.481977,36.219586,1
310,-81.505657,41.478808,1
311,-95.628352,29.366112,1
312,-98.363297,30.733045,1
313,-98.122573,31.713291,1
314,-97.410024,32.793905,1
315,-71.198969,42.400823,1
316,-106.293279,35.789049,1
317,-70.954926,42.118595,1
318,-81.338328,36.530872,1
319,-89.483682,43.122869,1
320,-98.491926,31.983669,1
321,-90.495452,38.704517,1
322,-75.112636,40.513961,1
323,-94.174583,36.052067,1
324,-74.933207,39.806433,1
325,-94.83212,37.35761,1
326,-93.634508,42.040106,1
327,-98.084959,30.18984,1
328,-98.329822,35.84262,1
329,-97.871742,30.186459,1
330,-103.665803,41.69759,1
331,-98.198912,32.232042,1
332,-86.823363,41.760278,1
333,-100.267867,46.690212,1
334,-93.942513,32.714908,1
335,-73.798496,41.249051,1
336,-80.388192,42.579437,1
337,-97.856583,32.124386,1
