,X_WGS84,Y_WGS84,liaasp
207,-95.304643,43.522292,1
208,-94.30299,46.106283,1
209,-92.893535,45.07224,1
210,-93.152695,45.421204,1
211,-94.776589,46.825905,1
212,-94.321395,44.536079,1
213,-91.800185,43.781735,1
214,-94.684695,43.739872,1
215,-94.442521,46.303775,1
216,-94.143452,45.698563,1
217,-95.927443,44.363181,1
218,-91.990286,44.15652,1
219,-96.57277,48.695736,1
220,-95.933603,45.592739,1
221,-95.843726,43.507279,1
222,-94.835116,45.376922,1
223,-92.813616,44.768807,1
224,-91.284791,43.825151,1
225,-95.633532,47.768499,1
226,-92.839221,43.739545,1
227,-94.047279,46.609965,1
228,-92.348769,43.999463,1
229,-92.834766,46.324306,1
230,-94.30491,44.72505,1
231,-93.926533,46.294011,1
232,-95.250605,44.000037,1
233,-94.90439,43.522882,1
234,-93.653344,46.395823,1
235,-95.024431,43.652398,1
236,-92.600465,45.953361,1
237,-96.34232,43.609066,1
238,-93.860001,45.331907,1
239,-96.420009,47.637205,1
240,-94.639878,44.738662,1
241,-89.618684,43.189969,1
242,-88.054644,35.462387,1
243,-94.004576,31.763031,1
244,-94.280701,34.651513,1
245,-92.942365,35.125228,1
246,-92.490587,34.840717,1
247,-87.937056,42.157335,1
248,-91.200243,37.11555,1
249,-86.969595,41.157389,1
250,-92.101148,44.397792,1
251,-86.41683,45.91822,1
252,-86.10546,42.6486,1
253,-85.341961,42.933643,1
254,-83.057599,42.346653,1
255,-83.13098,42.67714,1
256,-85.88245,43.90066,1
257,-86.35701,43.41668,1
258,-84.26018,42.31378,1
259,-84.14023,42.35309,1
260,-87.434106,46.291021,1
261,-85.9779,42.5485,1
262,-85.64255,43.51863,1
263,-81.5,43.67,1
264,-83.992973,42.416701,1
265,-87.573315,41.78203,1
266,-95.789497,34.985772,1
267,-97.778337,30.284906,1
268,-85.452574,43.402941,1
269,-94.336638,35.303306,1
270,-94.711087,31.50791,1
271,-88.119088,32.69637,1
272,-89.85105,40.152616,1
273,-97.277053,30.104095,1
274,-73.877023,40.862289,1
275,-96.653636,34.763788,1
276,-94.991912,38.328355,1
277,-97.075783,36.154831,1
278,-92.230447,38.590592,1
279,-83.668172,41.361226,1
280,-94.38992,45.954695,1
281,-90.116787,41.91657,1
282,-87.810486,42.502715,1
283,-89.790731,43.292505,1
284,-89.154541,40.637587,1
285,-88.047189,41.799338,1
286,-91.942586,46.052241,1
287,-88.222115,42.209192,1
288,-87.968039,42.485424,1
289,-90.147925,44.055103,1
290,-90.194237,44.151772,1
291,-93.600838,44.739958,1
292,-88.016432,41.658964,1
293,-95.62766,45.97453,1
294,-95.655137,45.797287,1
295,-87.632122,41.91762,1
296,-93.45658,44.819712,1
297,-93.626687,35.174572,1
298,-93.195847,44.89798,1
299,-92.656933,44.525603,1
300,-88.353636,42.338339,1
301,-92.073497,46.121877,1
302,-88.081744,41.896544,1
303,-90.008221,43.934751,1
304,-89.43273,44.122045,1
305,-88.190438,43.642722,1
306,-89.868054,42.949845,1
307,-89.606934,44.446079,1
308,-92.744263,45.740882,1
309,-91.58922,43.999472,1
310,-95.448875,29.763825,1
311,-96.304388,44.227283,1
312,-89.129983,42.078174,1
313,-96.588505,43.475564,1
314,-95.329528,34.608562,1
315,-89.151184,43.969537,1
316,-94.019853,30.840545,1
317,-88.738859,41.674548,1
318,-93.682307,44.881659,1
319,-93.724856,32.296274,1
320,-93.291784,44.98682,1
321,-89.815948,43.997603,1
322,-93.053994,34.55792,1
323,-91.022812,42.735837,1
324,-91.069377,42.989658,1
325,-93.70368,36.258653,1
326,-89.354035,42.991544,1
327,-90.793598,43.098956,1
328,-89.059579,42.990665,1
329,-87.562262,41.679666,1
330,-90.535685,43.194805,1
331,-96.520959,37.530274,1
332,-93.78879,45.44123,1
333,-89.441543,43.235495,1
334,-88.976743,41.315698,1
335,-87.673796,42.049121,1
336,-95.231322,44.247753,1
337,-92.369955,34.986404,1
338,-93.985274,37.909627,1
339,-82.898392,40.79878,1
340,-95.02189,45.31269,1
341,-88.327145,41.715346,1
342,-94.38966,45.59115,1
343,-89.245759,42.48313,1
344,-92.66062,45.38699,1
345,-93.000944,46.123166,1
346,-90.866617,40.106964,1
347,-92.293429,39.084927,1
348,-83.574293,38.837904,1
349,-96.324171,44.014824,1
350,-88.168533,41.388338,1
351,-87.928603,41.498006,1
352,-89.014793,40.623365,1
353,-90.741146,37.563835,1
354,-89.827942,41.454528,1
355,-88.024183,43.439239,1
356,-94.897296,38.89503,1
357,-92.7165,36.0064,1
358,-88.03624,36.90159,1
359,-87.890565,43.066871,1
360,-87.815057,42.366327,1
361,-96.736148,39.444743,1
362,-83.849347,41.550592,1
363,-95.44551,39.22857,1
364,-94.93612,37.17586,1
365,-95.77435,38.89282,1
366,-94.941364,39.351381,1
367,-96.22421,37.73282,1
368,-96.76493,37.86226,1
369,-95.11888,39.05951,1
370,-97.483747,39.97849,1
371,-95.58778,38.90635,1
372,-96.98679,37.23327,1
373,-95.679983,38.583486,1
374,-95.29451,38.1911,1
375,-96.799936,37.099064,1
376,-94.643,37.97713,1
377,-95.24772,37.70009,1
378,-95.7986,37.8282,1
379,-95.451123,38.904398,1
380,-95.156783,38.904898,1
381,-95.182796,37.255804,1
382,-94.648055,37.630294,1
383,-96.527633,38.050386,1
384,-95.357654,38.47512,1
385,-94.827021,37.255394,1
386,-96.57223,38.49773,1
387,-94.98444,37.02997,1
388,-95.28005,39.10371,1
389,-96.526526,39.232209,1
390,-94.73514,37.08142,1
391,-96.18916,38.33314,1
392,-96.11876,37.53504,1
393,-95.10587,37.02505,1
394,-95.52826,39.03703,1
395,-95.05176,39.85923,1
396,-96.53471,38.18548,1
397,-96.76827,37.3925,1
398,-94.78954,38.422363,1
399,-95.09981,38.60784,1
400,-95.374611,39.849641,1
401,-98.11002,39.92022,1
402,-95.18604,38.76043,1
403,-94.82726,37.62511,1
404,-165.86,65.56,0
405,-165.4,64.92,0
406,-165.02,65.79,0
407,-164.41,62.18,0
408,-164.15,68.42,0
409,-163.99,60.77,0
410,-163.69,61.68,0
411,-163.27,60.73,0
412,-163.23,67.81,0
413,-163.19,62.33,0
414,-163,65.22,0
415,-162.81,61.35,0
416,-162.74,68.92,0
417,-162.51,61.03,0
418,-162.4,61.95,0
419,-162.36,67.32,0
420,-162.2,62.71,0
421,-162.17,69.52,0
422,-161.94,68.49,0
423,-161.79,60.73,0
424,-161.75,61.72,0
425,-161.25,68.5,0
426,-161.21,59.74,0
427,-161.18,60.35,0
428,-161.14,69.45,0
429,-160.99,62.02,0
430,-160.91,65.3,0
431,-160.87,61.3,0
432,-160.68,67.62,0
433,-160.45,63.17,0
434,-160.23,66.52,0
435,-160.19,69.41,0
436,-160.03,60.04,0
437,-159.92,68.46,0
438,-159.81,61.11,0
439,-159.77,62.44,0
440,-159.65,56.28,0
441,-159.59,66.45,0
442,-159.58,67.32,0
443,-159.46,64.38,0
444,-159.35,65.64,0
445,-159.31,60.46,0
446,-159.27,63.09,0
447,-159.24,59.28,0
448,-159.12,70.02,0
449,-159.08,68,0
450,-159.04,61.5,0
451,-158.88,69.2,0
452,-158.85,56.5,0
453,-158.55,67.51,0
454,-158.51,59.93,0
455,-158.47,62.71,0
456,-158.4,69.75,0
457,-158.25,66.55,0
458,-158.17,60.73,0
459,-158.05,68.8,0
460,-157.9,65.56,0
461,-157.86,56.96,0
462,-157.83,59.4,0
463,-157.75,70.21,0
464,-157.6,60.12,0
465,-157.52,65.07,0
466,-157.45,68.08,0
