,X_WGS84,Y_WGS84,liapun
208,-93.641256,45.190752,1
209,-105.535033,50.265537,1
210,-110.107797,50.717283,1
211,-108.003744,50.673718,1
212,-93.300861,45.13707,1
213,-103.546172,46.91598,1
214,-96.287817,50.09674,1
215,-104.403,35.909,1
216,-99.881818,32.236524,1
217,-100.162332,47.127211,1
218,-101.033919,49.16267,1
219,-111.493306,45.933365,1
220,-100.992958,47.185663,1
221,-99.576259,47.968521,1
222,-103.725132,42.41538,1
223,-103.699236,41.837674,1
224,-113.735888,48.688504,1
225,-101.412329,48.938236,1
226,-98.824891,46.972297,1
227,-100.637787,46.827778,1
228,-97.445812,50.06658,1
229,-101.250047,49.04791,1
230,-105.391625,50.583,1
231,-106.378297,49.316058,1
232,-105.352126,39.897526,1
233,-104.610745,38.952091,1
234,-110.687456,50.005256,1
235,-106.696462,52.032197,1
236,-112.611817,51.421937,1
237,-101.390599,47.360006,1
238,-114.235987,49.54048,1
239,-113.009149,49.806135,1
240,-104.812732,49.25704,1
241,-112.888313,49.639092,1
242,-108.758885,49.612651,1
243,-101.325883,50.401467,1
244,-110.524067,45.713183,1
245,-106.70009,51.886013,1
246,-108.492355,45.797812,1
247,-107.65872,49.202458,1
248,-106.334975,35.192279,1
249,-106.470161,50.657637,1
250,-92.339224,44.51999,1
251,-96.312179,44.233753,1
252,-93.939321,44.507469,1
253,-94.597977,45.405027,1
254,-94.442024,44.33349,1
255,-93.418499,43.521217,1
256,-95.942429,45.362273,1
257,-94.895945,44.506793,1
258,-95.30637,45.303706,1
259,-95.472926,44.767174,1
260,-94.901351,45.882528,1
261,-94.90439,43.522882,1
262,-95.57699,44.836485,1
263,-95.089317,45.838886,1
264,-95.025051,44.563483,1
265,-95.892504,45.592765,1
266,-96.424847,45.073479,1
267,-96.57277,48.695736,1
268,-95.676523,47.768687,1
269,-94.045195,45.391222,1
270,-94.30299,46.106283,1
271,-96.417356,47.056714,1
272,-96.007852,47.245884,1
273,-95.748005,45.810665,1
274,-94.30491,44.72505,1
275,-94.472092,45.116322,1
276,-96.749262,45.510114,1
277,-95.968102,44.378119,1
278,-96.813211,45.593308,1
279,-96.174644,44.088141,1
280,-95.250605,44.000037,1
281,-95.024431,43.652398,1
282,-96.286297,44.856112,1
283,-94.394322,45.463971,1
284,-96.719411,32.85203,1
285,-105.0916,39.5193,1
286,-104.70725,36.89025,1
287,-105.360567,39.689231,1
288,-111.518213,50.758344,1
289,-97.054129,33.708789,1
290,-93.68564,36.27844,1
291,-103.360363,47.612544,1
292,-96.904167,50.010556,1
293,-93.456688,44.820033,1
294,-109.873689,49.574826,1
295,-103.923967,30.5948,1
296,-93.999497,44.275713,1
297,-113.95,49.48,1
298,-107.8,50.28,1
299,-109.96,45.84,1
300,-112.24,50.43,1
301,-111.5,46.33,1
302,-108.2,50.18,1
303,-110.66,45.99,1
304,-106.58,51.12,1
305,-106.67,52.13,1
306,-107.718076,52.481995,1
307,-96.655514,34.769243,1
308,-101.749128,33.266995,1
309,-97.064936,33.260849,1
310,-97.423014,32.624982,1
311,-96.634151,33.616593,1
312,-97.594822,33.723577,1
313,-97.457271,30.143888,1
314,-97.75714,32.872017,1
315,-103.516861,43.767447,1
316,-104.3225,44.6536,1
317,-104.8195,40.8648,1
318,-99.686984,35.573749,1
319,-105.6619,44.2838,1
320,-105.5814,40.9084,1
321,-106.3569,35.0337,1
322,-104.3457,44.2083,1
323,-106.4995,43.4064,1
324,-73.877023,40.862289,1
325,-103.45096,43.644069,1
326,-99.771208,34.670898,1
327,-103.0391,42.7056,1
328,-97.9659,40.4442,1
329,-105.6989,41.1675,1
330,-104.868385,39.669548,1
331,-98.709377,29.778423,1
332,-98.488884,29.399423,1
333,-101.801362,33.567059,1
334,-99.278639,49.662944,1
335,-97.04554,34.008844,1
336,-97.81652,32.252803,1
337,-110.696226,45.359463,1
338,-104.59721,38.855877,1
339,-103.3749,34.17585,1
340,-111.870669,45.838821,1
341,-108.827257,49.52295,1
342,-93.600753,44.739997,1
343,-112.04998,46.587242,1
344,-104.263454,50.736967,1
345,-96.565492,50.250653,1
346,-94.105536,45.540137,1
347,-114.200203,51.101497,1
348,-106.476298,51.037929,1
349,-111.038923,45.650935,1
350,-109.648863,47.7081,1
351,-102.4309,46.90248,1
352,-98.533416,32.540993,1
353,-109.477256,49.764044,1
354,-93.696107,45.529254,1
355,-101.892402,33.623263,1
356,-95.862229,41.406112,1
357,-104.136681,50.795991,1
358,-105.01752,35.07937,1
359,-103.16096,35.86618,1
360,-104.223222,36.914222,1
361,-103.93114,36.86725,1
362,-103.190138,36.495722,1
363,-103.091195,36.361583,1
364,-104.594195,36.558888,1
365,-105.75878,34.22533,1
366,-105.4047,35.5339,1
367,-104.8898,41.544,1
368,-105.261456,35.62341,1
369,-103.983506,36.780422,1
370,-104.442721,32.177968,1
371,-105.586937,36.275561,1
372,-105.770801,36.132876,1
373,-95.766538,30.556278,1
374,-113.6519,49.7081,1
375,-112.87597,49.09485,1
376,-101.850536,50.694963,1
377,-102.883824,36.846968,1
378,-96.986119,34.488545,1
379,-104.179412,35.394225,1
380,-105.609941,40.696193,1
381,-105.142937,40.553409,1
382,-104.67288,39.853912,1
383,-104.779879,31.983038,1
384,-107.519333,49.149917,1
385,-104.609854,50.788436,1
386,-105.3106,40.6899,1
387,-96.470288,32.951816,1
388,-96.852384,32.704577,1
389,-97.465103,32.989624,1
390,-97.644341,30.686671,1
391,-97.771175,30.383385,1
392,-104.950885,39.535209,1
393,-101.069219,33.48912,1
394,-104.823217,38.717978,1
395,-103.563636,43.318929,1
396,-94.279679,31.062345,1
397,-95.833703,41.240599,1
398,-95.51222,45.54078,1
399,-94.057574,41.75554,1
400,-94.839579,38.099623,1
401,-97.832518,33.240362,1
402,-109.104903,49.208995,1
403,-109.495513,49.657159,1
404,-113.99707,50.885627,1
405,-104.905539,50.768175,1
406,-112.661276,48.117987,1
407,-106.123013,50.262722,1
408,-106.134797,49.396608,1
409,-100.618693,49.040546,1
410,-98.419282,35.931666,1
411,-95.27588,45.71539,1
412,-98.383024,33.755512,1
413,-96.982556,32.62039,1
414,-97.222392,32.662685,1
415,-97.556858,32.271406,1
416,-97.275252,32.748371,1
417,-99.387895,28.315761,1
418,-100.474777,42.893615,1
419,-97.778724,30.28427,1
420,-97.664774,32.434104,1
421,-96.32195,44.01366,1
422,-97.243333,49.959222,1
423,-96.652984,32.963241,1
424,-94.093314,31.017219,1
425,-104.272678,39.016433,1
426,-113.4941,48.99794,1
427,-95.281178,45.438536,1
428,-97.804359,32.374208,1
429,-97.275145,32.870511,1
430,-97.17745,33.014439,1
431,-97.510802,32.737443,1
432,-101.670069,34.9613,1
433,-97.877069,33.458227,1
434,-97.266834,37.743792,1
435,-98.073664,30.620187,1
436,-97.377105,30.663608,1
437,-112.861669,49.738682,1
438,-105.13125,42.835996,1
439,-102.18274,39.630577,1
440,-100.967313,31.835048,1
441,-97.100151,32.589129,1
442,-97.012168,30.395706,1
443,-98.067417,30.297886,1
444,-93.134,36.246,1
445,-97.494958,32.873115,1
446,-96.545412,39.109811,1
447,-102.55338,37.64079,1
448,-103.82764,43.29724,1
449,-102.98323,44.11839,1
450,-104.03846,43.79087,1
451,-103.53502,43.93027,1
452,-103.85903,44.56851,1
453,-103.47434,43.53094,1
454,-97.52691,39.57222,1
455,-99.45767,38.2031,1
456,-95.173479,37.305004,1
457,-98.12473,39.58168,1
458,-99.30922,38.52424,1
459,-100.1362,37.65221,1
460,-95.210366,39.018432,1
461,-95.73392,38.00996,1
462,-97.38364,39.24648,1
463,-99.83342,39.83175,1
464,-101.83348,38.95282,1
465,-95.70793,38.20294,1
466,-99.88204,38.78622,1
467,-101.79102,37.99178,1
468,-96.6521,39.46824,1
469,-101.3604,39.80656,1
470,-96.04731,37.65021,1
471,-98.13698,38.34782,1
472,-98.67996,38.37363,1
473,-97.1271,38.04648,1
474,-97.91575,37.36686,1
475,-101.23814,38.48397,1
476,-98.07582,39.78419,1
477,-99.30846,38.3497,1
478,-95.86887,38.75151,1
479,-98.73911,37.63882,1
480,-96.28859,38.88482,1
481,-100.91576,38.63116,1
482,-101.76236,39.79294,1
483,-97.26643,37.57269,1
484,-97.92941,38.43883,1
485,-100.8655,38.15462,1
486,-100.5166,38.95939,1
487,-96.62141,38.15891,1
488,-101.010372,38.86958,1
489,-101.959149,38.937373,1
490,-96.527633,38.050386,1
491,-101.74873,39.30545,1
492,-101.93878,37.103912,1
493,-101.24033,38.91232,1
494,-99.50883,38.79786,1
495,-98.77707,38.55322,1
496,-99.88762,38.45558,1
497,-97.804632,37.154485,1
498,-101.4022,37.17704,1
499,-99.27327,37.52615,1
500,-101.332511,37.406524,1
501,-101.59718,39.80656,1
502,-99.02875,39.6864,1
503,-95.29846,39.97443,1
504,-96.66663,37.34654,1
505,-97.01316,37.35998,1
506,-96.10433,38.91825,1
507,-96.67198,38.66043,1
508,-96.13103,39.30747,1
509,-99.169,39.67301,1
510,-97.93233,39.8556,1
511,-98.14724,39.07085,1
512,-97.3393,38.68684,1
513,-96.58108,39.26543,1
514,-100.257248,41.422254,1
515,-100.35764,37.19913,1
516,-100.07412,39.36393,1
517,-98.39316,39.3358,1
518,-98.73414,37.4052,1
519,-98.96927,38.89156,1
520,-100.08453,38.86458,1
521,-96.9979,39.38475,1
522,-97.96335,38.63354,1
523,-102.03796,37.49281,1
524,-97.87928,39.93818,1
525,-100.26575,39.35547,1
526,-101.1471,37.94052,1
527,-100.4207,39.65307,1
528,-97.4304,37.96357,1
529,-100.67832,39.82209,1
530,-97.89812,39.59934,1
531,-99.10738,37.27007,1
532,-99.59876,39.75595,1
533,-100.68674,37.07537,1
534,-99.967951,39.600773,1
535,-96.91935,38.67091,1
536,-96.20645,38.80087,1
537,-95.17351,38.07642,1
538,-97.71735,38.78424,1
539,-96.98679,37.2585,1
540,-96.68124,37.12227,1
541,-95.17464,38.67961,1
542,-96.18916,38.33314,1
543,-99.79341,39.36664,1
544,-99.57937,38.8956,1
545,-97.40094,37.00614,1
546,-100.22232,37.0874,1
547,-98.98093,38.26892,1
548,-99.63258,38.40334,1
549,-98.76432,38.81981,1
550,-100.49442,39.83935,1
551,-100.0419,38.05469,1
552,-98.91615,37.2916,1
553,-100.52813,37.86371,1
554,-97.55064,39.35009,1
555,-97.89797,39.22442,1
556,-98.50757,37.28216,1
557,-95.80904,38.14477,1
558,-98.65715,37.22063,1
559,-97.60061,39.822941,1
560,-97.97862,38.73581,1
561,-96.07095,38.77328,1
562,-96.04695,39.82393,1
563,-95.21117,37.54486,1
564,-96.03385,37.83297,1
565,-95.36091,37.5271,1
566,-98.205008,39.270101,1
567,-103.085688,38.93686,1
568,-102.906335,39.293736,1
569,-165.86,65.56,0
570,-165.4,64.92,0
571,-165.02,65.79,0
572,-164.41,62.18,0
573,-164.15,68.42,0
574,-163.99,60.77,0
575,-163.69,61.68,0
576,-163.27,60.73,0
577,-163.23,67.81,0
578,-163.19,62.33,0
579,-163,65.22,0
580,-162.81,61.35,0
581,-162.74,68.92,0
582,-162.51,61.03,0
583,-162.4,61.95,0
584,-162.36,67.32,0
585,-162.2,62.71,0
586,-162.17,69.52,0
587,-161.94,68.49,0
588,-161.79,60.73,0
589,-161.75,61.72,0
590,-161.25,68.5,0
591,-161.21,59.74,0
592,-161.18,60.35,0
593,-161.14,69.45,0
594,-160.99,62.02,0
595,-160.91,65.3,0
596,-160.87,61.3,0
597,-160.68,67.62,0
598,-160.45,63.17,0
599,-160.19,69.41,0
600,-160.03,60.04,0
601,-159.92,68.46,0
602,-159.81,61.11,0
603,-159.77,62.44,0
604,-159.65,56.28,0
605,-159.59,66.45,0
606,-159.58,67.32,0
607,-159.46,64.38,0
608,-159.35,65.64,0
609,-159.35,61.87,0
610,-159.31,60.46,0
611,-159.27,63.09,0
612,-159.24,59.28,0
613,-159.12,70.02,0
614,-159.08,68,0
615,-159.04,61.5,0
616,-158.88,69.2,0
617,-158.85,56.5,0
618,-158.55,67.51,0
619,-158.51,59.93,0
620,-158.47,62.71,0
621,-158.4,69.75,0
622,-158.25,66.55,0
623,-158.17,60.73,0
624,-158.05,68.8,0
625,-157.9,65.56,0
626,-157.86,56.96,0
627,-157.83,59.4,0
628,-157.75,70.21,0
629,-157.6,60.12,0
630,-157.52,65.07,0
631,-157.45,68.08,0
632,-157.33,61.38,0
633,-157.14,67.39,0
634,-157.1,65.83,0
635,-157.07,69.22,0
636,-156.99,62.37,0
637,-156.91,66.78,0
638,-156.84,59.36,0
639,-156.76,64.33,0
640,-156.65,60.27,0
641,-156.57,58.26,0
642,-156.53,61.19,0
643,-156.34,70.17,0
644,-156.3,62.94,0
645,-156.27,58.9,0
