,X_WGS84,Y_WGS84,dalpur
1,-96.21732774,46.86623608,1
2,-95.91382857,47.40066437,1
3,-96.03528829,47.03584006,1
4,-96.25355314,45.19892377,1
5,-95.13277305,45.40519747,1
6,-96.75286319,45.51456231,1
7,-99.23788047,46.42348089,1
8,-95.50830239,45.66958736,1
9,-96.38535359,47.05465412,1
10,-96.44511919,45.26837115,1
11,-96.51348744,48.56379529,1
12,-96.04565009,47.41208944,1
13,-98.8830383,46.48223857,1
14,-99.12542802,45.71709742,1
15,-99.21949603,45.27962247,1
16,-96.5681988,48.35688751,1
17,-95.75274725,45.81703326,1
18,-97.21714536,46.37487276,1
19,-99.22320921,46.57824741,1
20,-98.88364373,46.01932077,1
21,-96.9718291,46.12033901,1
22,-96.4899627,47.98994129,1
23,-96.48555676,45.37160057,1
24,-96.30931509,48.00639228,1
25,-96.26945842,47.00719552,1
26,-99.15316969,44.39943534,1
27,-96.55958989,48.94913166,1
28,-96.376188,47.821075,1
29,-97.34508404,46.44791896,1
30,-96.02128993,48.52768371,1
31,-96.14364853,47.10991924,1
32,-99.45433348,45.29368408,1
33,-95.54829251,45.10369512,1
34,-95.97440447,45.5591829,1
35,-95.28222864,45.43802837,1
36,-99.07349492,46.5486152,1
37,-96.37547169,46.60152684,1
38,-95.88889517,46.01566999,1
39,-96.60517775,48.71741136,1
40,-94.68103161,45.41802647,1
41,-96.33098063,46.43480211,1
42,-99.30829257,44.82861397,1
43,-99.48791868,46.45311079,1
44,-96.20941151,46.69133423,1
45,-96.27876934,47.71663018,1
46,-95.74278452,46.10675689,1
47,-96.40669377,47.24917207,1
48,-96.00408574,45.74519675,1
49,-96.25810417,48.66929797,1
50,-97.29441477,46.55418674,1
51,-94.92724415,45.38413677,1
52,-96.23749006,46.2867969,1
53,-95.6084553,46.20430569,1
54,-97.35939,46.35043983,1
55,-96.00749139,45.42648242,1
56,-99.62617222,44.97424111,1
57,-96.40659589,46.8965488,1
58,-96.36552094,46.77097104,1
59,-96.45606562,48.68104303,1
60,-96.2917529,47.51366789,1
61,-97.11139063,46.52031236,1
62,-99.37028085,45.77848778,1
63,-96.34650182,45.33605074,1
64,-96.41565051,45.06012084,1
65,-95.99207657,45.13092591,1
66,-96.42667598,44.74429617,1
67,-99.19620347,46.30224768,1
68,-97.42586975,46.53827621,1
69,-94.96173,33.65884,1
70,-95.69989,33.63592,1
71,-96.98702,32.63941,1
72,-97.76917,33.38028,1
73,-101.58861,32.80712,1
74,-99.984667,49.873333,1
75,-110.436188,47.886837,1
76,-108.967644,48.428284,1
77,-104.515327,45.516823,1
78,-102.714142,44.605209,1
79,-104.274521,46.962967,1
80,-106.687881,48.365711,1
81,-105.757225,47.629627,1
82,-104.901024,47.272427,1
83,-104.960808,42.130318,1
84,-105.550507,46.261482,1
85,-107.928833,48.250156,1
86,-106.982208,47.281174,1
87,-108.226578,47.141918,1
88,-98.969461,35.881793,1
89,-91.216141,38.169399,1
90,-102.47283,39.748823,1
91,-97.472472,50.922389,1
92,-97.530972,50.595333,1
93,-97.58125,51.163278,1
94,-96.91809,34.18749,1
95,-98.159167,43.883667,1
96,-97.4394,35.2225,1
97,-87.418008,38.68909,1
98,-100.0592,37.1822,1
99,-105.030538,39.78082,1
100,-101.254892,37.86083,1
101,-97.444302,35.009336,1
102,-105.2301,39.9211,1
103,-106.7307,44.3651,1
104,-104.3457,44.2083,1
105,-96.703321,34.754013,1
106,-100.046547,43.716372,1
107,-97.658094,35.137844,1
108,-114.0703,51.055,1
109,-103.5986,43.7664,1
110,-106.73,51.9417,1
111,-102.164503,35.495839,1
112,-103.6892,40.8997,1
113,-100.888639,34.535524,1
114,-97.0008,34.4575,1
115,-109.7034,48.257,1
116,-109.256273,45.492645,1
117,-97.393686,42.858964,1
118,-104.4822,36.9892,1
119,-104.898742,39.116576,1
120,-96.055261,34.00454,1
121,-99.4375,48.2889,1
122,-97.725863,33.850608,1
123,-104.39965,44.1043,1
124,-105.633759,35.009493,1
125,-95.244721,43.396354,1
126,-104.204941,43.8547,1
127,-105.679775,35.577896,1
128,-107.4691,44.9739,1
129,-105.2703,40.0147,1
130,-102.258766,35.683633,1
131,-96.67414,44.80417,1
132,-107.3038,44.8202,1
133,-103.506755,44.075146,1
134,-97.407203,35.551523,1
135,-104.485114,37.178358,1
136,-103.444922,35.358974,1
137,-97.213041,36.304995,1
138,-104.378967,37.941336,1
139,-105.2889,36.0075,1
140,-96.5817,37.8217,1
141,-96.135081,41.018267,1
142,-105.5215,44.8055,1
143,-102.5108,36.8892,1
144,-103.497559,35.49832,1
145,-103.27239,34.237471,1
146,-98.375147,35.174379,1
147,-104.2714,37.1733,1
148,-110.526321,45.488345,1
149,-101.4267,37.8086,1
150,-88.909481,39.869306,1
151,-98.4167,38.0958,1
152,-96.7518,40.6184,1
153,-103.852148,44.671373,1
154,-91.3903,39.9367,1
155,-100.955,37.2603,1
156,-97.929774,38.131888,1
157,-100.888199,34.937829,1
158,-96.218292,38.432602,1
159,-101.344719,37.17612,1
160,-99.537894,42.672758,1
161,-112.6278,51.4175,1
162,-104.8114,44.3442,1
163,-88.257858,42.121136,1
164,-90.032841,40.222961,1
165,-99.665302,37.392732,1
166,-105.2867,41.8597,1
167,-98.536456,38.940152,1
168,-93.615211,41.649269,1
169,-105.203169,35.626303,1
170,-88.20727,40.110588,1
171,-99.6531,37.0583,1
172,-108.2949,32.7426,1
173,-104.956334,35.593637,1
174,-105.544219,39.038046,1
175,-92.2858,36.5869,1
176,-113.2131,53.7125,1
177,-98.445094,37.807237,1
178,-107.0713,47.89885,1
179,-105.4405,44.6292,1
180,-103.403529,43.547206,1
181,-98.471661,34.662101,1
182,-108.674307,32.350356,1
183,-104.29469,44.406346,1
184,-99.098713,38.17332,1
185,-97.102303,34.125445,1
186,-104.604,44.7808,1
187,-87.575046,41.722535,1
188,-97.326407,35.203021,1
189,-103.5514,42.3347,1
190,-91.475695,43.457734,1
191,-104.362827,34.474051,1
192,-94.6394,37.0758,1
193,-88.698098,33.543198,1
194,-89.493086,40.667313,1
195,-104.9572,38.0697,1
196,-102.71228,36.729302,1
197,-98.9525,40.4958,1
198,-98.433457,35.875251,1
199,-100.692673,40.352317,1
200,-89.6451,40.688649,1
201,-91.379694,37.7165,1
202,-97.192667,43.5915,1
203,-97.157333,43.982333,1
204,-95.548,38.77901,1
205,-96.64572,38.33765,1
206,-98.188094,49.196122,1
207,-101.4003781,50.94988339,1
208,-96.88421889,50.01889946,1
209,-99.51730111,49.64988682,1
210,-99.533333,49.783333,1
211,-99.305,49.674611,1
212,-99.09728805,49.7008889,1
213,-100.7503654,51.63289103,1
214,-96.50020823,50.23290187,1
215,-99.692194,49.798333,1
216,-88.4743,42.9355,1
217,-96.734972,49.08972,1
218,-94.9472,49.637,1
219,-105.972,46.3089,1
220,-90.068,40.959,1
221,-91.183333,37,1
222,-90.628611,38.520556,1
223,-90.7,38.16666,1
224,-90.40684,38.0128,1
225,-90.229167,38.073333,1
226,-92.2225,37.12444,1
227,-90.852222,37.525278,1
228,-94.53333,37.5,1
229,-92.56027,38.11722,1
230,-91.57305,38.90111,1
231,-90.92611,39.03944,1
232,-91.415278,36.821111,1
233,-91.8275,36.585278,1
234,-92.137778,39.210278,1
235,-91.376667,37.600556,1
236,-90.628889,37.588056,1
237,-92.148889,37.626389,1
238,-91.444444,37.155278,1
239,-93.468056,36.611944,1
240,-93.754167,36.548056,1
241,-92.583056,40.194722,1
242,-92.009167,40.143611,1
243,-90.787778,37.936389,1
244,-90.453056,37.098056,1
245,-91.800833,39.476667,1
246,-93.724444,37.093056,1
