,X_WGS84,Y_WGS84,rudhir
1,-96.57058471,48.35895214,1
2,-95.60753907,46.20532597,1
3,-96.3755628,46.60134902,1
4,-96.23789541,46.28755358,1
5,-99.07290157,46.55195983,1
6,-99.23797376,46.42659187,1
7,-96.49052345,47.99369927,1
8,-96.32846296,47.17948706,1
9,-96.41117181,48.97375477,1
10,-99.49374234,46.45178284,1
11,-95.91306539,47.3935136,1
12,-96.30983745,48.00609984,1
13,-96.75289437,45.51360317,1
14,-98.87272798,46.48032549,1
15,-97.36698302,46.3535,1
16,-96.40694808,47.25600106,1
17,-95.74628564,45.81692115,1
18,-96.43834133,48.67327515,1
19,-96.00289626,45.74581755,1
20,-96.52323844,48.79940016,1
21,-96.02205209,48.52621889,1
22,-99.63668799,45.78495081,1
23,-96.30995345,48.53970013,1
24,-96.637193,48.876707,1
25,-96.55797,48.964312,1
26,-98.66555348,43.80324658,1
27,-96.04473621,45.86549906,1
28,-96.53426576,44.75240258,1
29,-96.22826502,46.92135856,1
30,-96.35717106,47.6731359,1
31,-99.31103395,44.82257632,1
32,-95.15271538,45.40009485,1
33,-96.46704406,46.85371907,1
34,-96.38512387,46.42358235,1
35,-96.21436321,46.69040825,1
36,-95.54682215,45.10525324,1
37,-99.32139977,45.72200628,1
38,-96.36186862,46.71818592,1
39,-96.03575215,47.03659058,1
40,-99.1982899,46.29940232,1
41,-106.895003,52.143417,1
42,-79.23791,43.724859,1
43,-85.057413,41.189437,1
44,-88.285027,44.160304,1
45,-91.226783,46.62028,1
46,-89.829311,43.678677,1
47,-75.495871,45.503889,1
48,-97.150162,33.251305,1
49,-75.342893,45.516939,1
50,-93.017486,45.17535,1
51,-72.362799,43.083318,1
52,-81.822436,43.248235,1
53,-85.953422,44.930745,1
54,-72.612205,42.344975,1
55,-80.169397,43.937093,1
56,-72.332596,43.360893,1
57,-70.697321,43.875089,1
58,-71.138081,42.651076,1
59,-79.046311,36.037442,1
60,-79.673836,44.33982,1
61,-89.964504,42.776184,1
62,-80.143412,41.654671,1
63,-75.620122,44.681783,1
64,-94.186826,48.652537,1
65,-84.947152,45.363284,1
66,-91.982292,46.880558,1
67,-73.474092,40.918255,1
68,-105.36332,35.263163,1
69,-73.253953,40.641072,1
70,-76.952978,42.105064,1
71,-73.459458,40.653717,1
72,-88.862948,44.115226,1
73,-97.589468,35.593904,1
74,-70.865031,42.549106,1
75,-91.19162,43.823208,1
76,-79.845876,44.702413,1
77,-75.679702,46.192096,1
78,-81.011951,46.604722,1
79,-76.18342,44.688518,1
80,-60.293832,46.257552,1
81,-98.806336,51.439384,1
82,-94.565072,36.190358,1
83,-90.267493,42.431197,1
84,-97.570784,35.457898,1
85,-82.095214,41.025233,1
86,-85.779853,41.644356,1
87,-70.917455,41.683216,1
88,-80.572013,43.47438,1
89,-105.511694,44.265147,1
90,-71.206612,42.119531,1
91,-92.491775,44.138778,1
92,-87.776558,45.59462,1
93,-78.639389,37.400335,1
94,-73.73808,46.636121,1
95,-78.768005,44.188362,1
96,-65.584743,47.007966,1
97,-91.293388,43.966406,1
98,-93.000764,46.123318,1
99,-80.420385,36.769706,1
100,-73.83178,41.110997,1
101,-87.22238,44.968272,1
102,-78.750922,44.082356,1
103,-82.963557,42.347172,1
104,-82.408767,39.62678,1
105,-76.22431,45.204538,1
106,-82.544395,40.090925,1
107,-76.442828,41.016527,1
108,-93.36808,44.84405,1
109,-92.483963,35.288578,1
110,-92.82363,44.798683,1
111,-89.05774,42.99115,1
112,-94.726409,44.450682,1
