,X_WGS84,Y_WGS84,anecyl
205,-97.404694,51.249472,1
206,-87.848312,44.606002,1
207,-76.079041,45.49571,1
208,-84.672847,45.575319,1
209,-84.899292,45.747058,1
210,-85.981957,45.113771,1
211,-83.327195,45.192515,1
212,-84.290139,45.99805,1
213,-85.373992,45.796332,1
214,-86.065488,44.771831,1
215,-84.667054,45.469932,1
216,-85.536627,45.701493,1
217,-84.614939,45.332147,1
218,-85.863327,45.434324,1
219,-83.612994,42.24115,1
220,-85.9779,42.5485,1
221,-122.28,52.35,1
222,-122.75,53.92,1
223,-120.85,56.25,1
224,-113.93,49.53,1
225,-120.67,56.14,1
226,-120.14,55.72,1
227,-106.78036,35.845094,1
228,-77.31384,44.47253,1
229,-76.223717,44.777914,1
230,-113.46734,49.007301,1
231,-84.835866,46.178076,1
232,-97.494427,50.459795,1
233,-100.33905,47.185353,1
234,-101.817245,45.968803,1
235,-82.31655,45.767379,1
236,-104.1027,44.4649,1
237,-73.877023,40.862289,1
238,-104.3426,44.583,1
239,-82.105107,45.849364,1
240,-88.220772,42.209848,1
241,-80.351193,42.850702,1
242,-89.057989,42.989976,1
243,-92.072379,46.122788,1
244,-81.427038,42.956036,1
245,-79.2,44.283333,1
246,-79.03818,44.68918,1
247,-88.047576,41.798948,1
248,-89.1299,42.078301,1
249,-92.43249,44.029189,1
250,-87.560291,41.768269,1
251,-89.816944,43.997756,1
252,-89.855237,43.750955,1
253,-96.867758,50.003958,1
254,-89.919587,43.000083,1
255,-92.70792,45.7104,1
256,-87.533728,41.643587,1
257,-104.752611,37.078111,1
258,-106.203,36.634,1
259,-106.63,35.802,1
260,-106.34952,34.77065,1
261,-103.969865,36.779854,1
262,-78.047744,44.622785,1
263,-78.285248,44.347606,1
264,-106.718075,51.978133,1
265,-96.585139,50.211889,1
266,-80.099385,42.549609,1
267,-78.491435,44.505552,1
268,-89.809539,43.105928,1
269,-80.027421,43.844925,1
270,-89.193667,44.002733,1
271,-79.788705,44.476842,1
272,-96.325062,44.015898,1
273,-89.673141,43.122975,1
274,-89.431758,43.038303,1
275,-78.617724,44.646991,1
276,-78.125738,44.457305,1
277,-92.84563,45.72351,1
278,-87.957643,42.488919,1
279,-92.65266,45.39772,1
280,-89.85147,40.15454,1
281,-80.309793,43.318053,1
282,-113.947084,49.100293,1
283,-77.423294,44.255113,1
284,-81.769652,46.027633,1
285,-93.142471,44.47029,1
286,-83.728648,42.303569,1
287,-81.052376,42.71202,1
288,-97.2719,49.8878,1
289,-87.665157,41.842662,1
290,-87.841142,42.059641,1
291,-87.80627,42.215463,1
292,-119.525921,55.290047,1
293,-94.22234,43.10423,1
294,-80.237663,44.386447,1
295,-96.968688,43.551387,1
296,-72.48685,43.597263,1
297,-113.2772,53.472006,1
298,-97.3289,44.9825,1
299,-100.238333,50.803333,1
300,-110.310771,50.684801,1
301,-113.5226,53.5374,1
302,-112.196254,51.76897,1
303,-76.3898,45.49,1
304,-73.5988,45.5039,1
305,-74.0047,45.4841,1
306,-95.576279,46.13681,1
307,-98.00450925,46.10968387,1
308,-100.0135,42.78549,1
309,-96.28876,41.21569,1
310,-97.28346,43.0991,1
311,-100.7823931,47.03359896,1
312,-97.00186,42.69121,1
313,-103.761676,39.399482,1
314,-103.8177349,46.96334332,1
315,-100.44755,45.45619,1
316,-99.611251,46.40106598,1
317,-101.126681,43.005832,1
318,-98.03342355,46.5068625,1
319,-100.19312,45.76859,1
320,-96.5244,44.5051,1
321,-96.532789,42.674152,1
322,-103.310857,46.387184,1
323,-98.83444,43.2082,1
324,-99.28296,43.32659,1
325,-97.1347,39.93149,1
326,-103.51162,43.99492,1
327,-103.85035,44.275111,1
328,-95.30845,39.98211,1
329,-96.52044,39.81936,1
330,-165.86,65.56,0
331,-165.4,64.92,0
332,-165.02,65.79,0
333,-164.41,62.18,0
334,-164.15,68.42,0
335,-163.99,60.77,0
336,-163.69,61.68,0
337,-163.27,60.73,0
338,-163.23,67.81,0
339,-163.19,62.33,0
340,-163,65.22,0
341,-162.81,61.35,0
342,-162.74,68.92,0
343,-162.51,61.03,0
344,-162.4,61.95,0
345,-162.36,67.32,0
346,-162.2,62.71,0
347,-162.17,69.52,0
348,-161.94,68.49,0
349,-161.79,60.73,0
350,-161.75,61.72,0
351,-161.25,68.5,0
352,-161.21,59.74,0
353,-161.18,60.35,0
354,-161.14,69.45,0
355,-160.99,62.02,0
356,-160.91,65.3,0
357,-160.87,61.3,0
358,-160.68,67.62,0
359,-160.45,63.17,0
360,-160.23,66.52,0
361,-160.19,69.41,0
362,-160.03,60.04,0
363,-159.92,68.46,0
364,-159.81,61.11,0
365,-159.77,62.44,0
366,-159.65,56.28,0
367,-159.59,66.45,0
368,-159.58,67.32,0
369,-159.46,64.38,0
370,-159.31,60.46,0
371,-159.27,63.09,0
372,-159.24,59.28,0
373,-159.12,70.02,0
374,-159.08,68,0
375,-159.04,61.5,0
376,-158.88,69.2,0
377,-158.85,56.5,0
378,-158.51,59.93,0
379,-158.47,62.71,0
380,-158.4,69.75,0
381,-158.25,66.55,0
382,-158.17,60.73,0
383,-158.05,68.8,0
384,-157.83,59.4,0
385,-157.75,70.21,0
386,-157.6,60.12,0
387,-157.52,65.07,0
388,-157.45,68.08,0
389,-157.33,61.38,0
390,-157.14,67.39,0
391,-157.1,63.28,0
392,-157.07,69.22,0
393,-156.99,62.37,0
394,-156.91,66.78,0
395,-156.84,57.42,0
396,-156.76,64.33,0
397,-156.65,60.27,0
398,-156.57,58.26,0
399,-156.53,61.19,0
400,-156.34,70.17,0
401,-156.34,63.97,0
402,-156.3,62.94,0
403,-156.27,58.9,0
404,-156.23,65.37,0
405,-156.15,68.84,0
406,-156.08,58.29,0
407,-156.06,59.85,0
408,-156,66.06,0
409,-155.85,62.4,0
410,-155.66,61.74,0
411,-155.58,63.24,0
412,-155.5,65.49,0
413,-155.43,67.51,0
414,-155.43,69.79,0
415,-155.39,64.38,0
416,-155.35,60.65,0
417,-155.16,59.93,0
418,-154.97,58.64,0
419,-154.86,65.18,0
420,-154.63,63.43,0
421,-154.55,68.15,0
422,-154.48,61.57,0
423,-154.33,64.09,0
424,-154.25,69.98,0
425,-154.17,63.01,0
426,-153.91,68.92,0
427,-153.87,65.87,0
428,-153.79,64.77,0
429,-153.75,66.59,0
430,-153.71,62.33,0
431,-153.68,61.49,0
432,-153.52,60.62,0
433,-153.3,65.53,0
434,-153.26,63.36,0
435,-153.26,67.13,0
436,-153.22,68.53,0
437,-153.14,70.29,0
438,-152.95,61.53,0
439,-152.72,69.6,0
440,-152.65,66.86,0
441,-152.57,64.69,0
442,-152.57,61.07,0
443,-152.53,65.79,0
444,-152.42,63.43,0
445,-152.31,61.91,0
446,-152,69.14,0
447,-151.93,63.93,0
448,-151.89,61.26,0
449,-151.85,66.75,0
450,-151.66,62.33,0
451,-151.47,68.34,0
452,-151.35,66.13,0
453,-151.28,69.75,0
454,-151.24,64.46,0
455,-151.192595,63.114803,0
456,-151.05,67.62,0
457,-151.01,61.68,0
458,-150.94,66.44,0
459,-150.86,66.82,0
460,-150.67,69.37,0
461,-150.63,62.86,0
462,-150.52,65.79,0
463,-150.48,68.61,0
464,-150.4,61.8,0
465,-150.17,64.23,0
466,-150.06,67.16,0
467,-150.02,65.15,0
468,-149.95,62.29,0
469,-149.87,69.45,0
470,-149.79,69.94,0
471,-149.64,68.99,0
472,-149.64,66.63,0
473,-149.6,63.47,0
474,-149.53,68.15,0
475,-149.49,61.83,0
476,-149.45,62.67,0
477,-149.34,64.57,0
478,-149.34,65.87,0
479,-149.23,67.63,0
480,-149.11,69.45,0
481,-148.73,62.33,0
482,-148.54,63.55,0
483,-148.46,66.29,0
484,-148.439042,61.788505,0
485,-148.42,67.13,0
486,-148.27,64.88,0
487,-148.27,62.79,0
488,-148.08,69.26,0
489,-147.89,68.15,0
490,-147.74,62.06,0
491,-147.62,65.83,0
492,-147.59,69.07,0
493,-147.47,66.63,0
494,-147.43,63.51,0
495,-147.39,67.66,0
496,-147.13,64.31,0
497,-147.13,62.56,0
498,-146.94,61.95,0
499,-146.79,65.49,0
500,-146.63,68,0
501,-146.56,69.35,0
502,-146.37,63.2,0
503,-146.37,61.53,0
504,-146.33,65.87,0
505,-146.25,67.01,0
506,-146.155564,64.256775,0
507,-145.644103,64.148606,0
508,-145.53,64.92,0
509,-145.49,68.42,0
510,-145.42,63.47,0
511,-145.42,62.56,0
512,-145.347038,61.95071,0
513,-145.26,61.34,0
514,-145.156578,66.920676,0
515,-145.151818,66.7229,0
516,-144.84,65.22,0
517,-144.84,64,0
518,-144.77,69.26,0
519,-144.69,65.87,0
520,-144.65,67.7,0
521,-144.65,63.05,0
522,-144.58,68.65,0
523,-144.332108,61.521197,0
524,-144.2,66.97,0
525,-144.12,63.89,0
526,-144.04,64.96,0
527,-143.89,60.73,0
528,-143.85,69.45,0
529,-143.78,67.05,0
530,-143.78,62.33,0
531,-143.4,67.7,0
532,-143.36,62.71,0
533,-143.32,61.68,0
534,-143.28,66.21,0
535,-143.28,64.84,0
536,-143.25,68.69,0
537,-143.17,69.45,0
538,-142.9,61.07,0
539,-142.83,62.25,0
540,-142.48,65.49,0
541,-142.47,61.5,0
542,-142.41,67.81,0
543,-142.24,69.04,0
544,-142.16,64.41,0
545,-142.14,66.78,0
546,-142.14,62.82,0
547,-142.03,63.66,0
548,-141.99,62.02,0
549,-141.95,60.69,0
550,-141.8,65.76,0
551,-141.57,66.97,0
552,-141.42,68,0
553,-141.34,69.11,0
554,-141.3,64.73,0
555,-141,62.3,0
556,-140.62,66.52,0
557,-140.43,67.73,0
558,-140.35,63.47,0
559,-140.35,62.25,0
560,-140.31,60.96,0
561,-140.2,64.57,0
562,-140.16,65.37,0
563,-140.15646,69.160935,0
564,-139.78,66.75,0
565,-139.74,62.4,0
566,-139.44,64.1,0
567,-139.415849,61.368095,0
568,-139.36,67.89,0
569,-139.29,68.84,0
570,-138.79,66.55,0
571,-138.75,65.11,0
572,-138.56,61.99,0
573,-138.535538,61.018719,0
574,-138.52,68.23,0
575,-138.49,63.47,0
576,-138.07,68.72,0
577,-138.03,65.34,0
578,-138.03,64.42,0
579,-137.88,68.08,0
580,-137.61,66.84,0
581,-137.519319,60.750653,0
582,-137.39,62.78,0
583,-137.06,60.37,0
584,-137.01197,61.38799,0
585,-136.96,68.04,0
586,-136.857467,62.598422,0
587,-136.77,67.01,0
588,-136.58,65.07,0
589,-136.51,66.25,0
590,-136.48,60.79,0
591,-136.16,63.81,0
592,-136.123352,61.898792,0
593,-135.86,66.9,0
594,-135.71134,60.857149,0
595,-135.63,65.6,0
596,-135.59903,59.271254,0
597,-135.48,67.85,0
598,-135.25,62.1,0
599,-135.153794,60.953972,0
600,-135.026225,60.661583,0
601,-135,63,0
602,-134.884943,60.106654,0
603,-134.87,66.82,0
604,-134.72,67.81,0
605,-134.68,65.18,0
606,-134.64,65.95,0
607,-134.53,63.93,0
608,-134.49,68.5,0
609,-134.41,69.03,0
610,-133.78,59.58,0
611,-133.77,61.45,0
612,-133.69,68.31,0
613,-133.6,66.84,0
614,-133.54,67.43,0
615,-133.42,63.74,0
616,-133.354715,62.238491,0
617,-133.35,64.88,0
618,-133,66.44,0
619,-132.62,65.98,0
620,-132.59,59.93,0
621,-132.51,67.85,0
622,-132.509492,61.969454,0
623,-132.47,63.09,0
624,-132.39,58.48,0
625,-132.28,64.31,0
626,-132.13,66.75,0
627,-131.98,68.53,0
628,-131.94,59.36,0
629,-131.84,56.65,0
630,-131.82,65.41,0
631,-131.75,61.3,0
632,-131.6,62.71,0
633,-131.52,67.51,0
634,-131.23,63.55,0
635,-131.16,57.9,0
636,-131.14,66.36,0
637,-130.87,57.15,0
638,-130.8,64.77,0
639,-130.76,61.3,0
640,-130.76,67.62,0
641,-130.72,68.38,0
642,-130.705506,58.179325,0
643,-130.68,60.39,0
644,-130.62,65.74,0
645,-130.57,62.37,0
646,-130.42,66.82,0
647,-129.88,60.43,0
648,-129.85,59.29,0
649,-129.69,64.54,0
650,-129.62,68.95,0
651,-129.59,57.51,0
652,-129.58,63.36,0
653,-129.54,65.53,0
654,-129.44,68.02,0
655,-129.068056,59.370536,0
656,-129.05,63.15,0
657,-129.01,66.71,0
658,-128.85,61.76,0
659,-128.82,56.01,0
660,-128.74,56.88,0
661,-128.63,54.33,0
662,-128.55,60.77,0
663,-128.47,65.91,0
664,-128.41,53.16,0
665,-128.4,67.73,0
666,-128.25,64.99,0
667,-128.21,54.3,0
668,-128.09,63.97,0
669,-128.02,67.24,0
670,-127.86,68.12,0
671,-127.67,55.25,0
672,-127.64,62.94,0
673,-127.6,61.91,0
674,-127.52,69.71,0
675,-127.48,66.76,0
676,-127.48,60.69,0
677,-127.37,56.09,0
678,-127.24,69.04,0
679,-127.14,67.43,0
680,-127.106842,54.772658,0
681,-126.91,63.89,0
682,-126.72,66.17,0
683,-126.61,56.77,0
684,-126.49,59.32,0
685,-126.46,62.44,0
686,-126.38,55.93,0
687,-126.38,60.39,0
688,-126.23,68.88,0
689,-126.15,67.05,0
690,-125.92,57.84,0
691,-125.904,49.164,0
692,-125.88,51.4,0
693,-125.81,64.31,0
694,-125.77,67.66,0
695,-125.75,54.05,0
696,-125.54,68.19,0
697,-125.5,62.25,0
698,-125.47,65.87,0
699,-125.47,52.73,0
700,-125.43,66.97,0
701,-125.31,55.44,0
