,X_WGS84,Y_WGS84,echang
207,-98.15907,38.34782,1
208,-98.42599,37.79312,1
209,-96.08579,38.86026,1
210,-96.10475,39.36907,1
211,-95.8852,39.44027,1
212,-96.10229,38.68425,1
213,-98.3017,39.505613,1
214,-96.71073,39.03241,1
215,-99.84569,39.27388,1
216,-96.76394,37.17381,1
217,-97.43299,43.35079,1
218,-98.88195,43.02929,1
219,-97.222337,45.742814,1
220,-103.50368,44.08432,1
221,-99.18849,43.11507,1
222,-96.4918,43.00781,1
223,-99.1516,43.56079,1
224,-103.59381,43.65743,1
225,-96.93039,44.45213,1
226,-104.4197639,44.41778179,1
227,-104.4427456,47.9084586,1
228,-103.47434,43.53094,1
229,-99.42915,43.28428,1
230,-103.310857,46.387184,1
231,-99.9862,45.5475,1
232,-100.65774,43.30395,1
233,-99.154394,39.180097,1
234,-96.50233,43.13846,1
235,-98.76546,43.52702,1
236,-97.49029,42.8818,1
237,-98.64319772,47.10063863,1
238,-97.20807,44.76188,1
239,-96.23412,38.86026,1
240,-97.77903,43.62487,1
241,-96.86871,39.03241,1
242,-96.02942,37.91119,1
243,-97.683508,35.123995,1
244,-99.78261,37.39598,1
245,-102.98323,44.11839,1
246,-96.78699,38.33727,1
247,-97.41207,37.94907,1
248,-96.508392,38.607081,1
249,-98.7028,39.45966,1
250,-99.31722,38.91512,1
251,-100.27581,45.62379,1
252,-97.650373,37.001688,1
253,-96.41096,38.66043,1
254,-100.46812,45.45619,1
255,-95.52565,39.23053,1
256,-101.04651,39.39778,1
257,-96.58947,37.81876,1
258,-99.967619,39.600661,1
259,-99.32385,37.24412,1
260,-96.59211,38.8812,1
261,-97.0269,38.16457,1
262,-96.54842,38.39683,1
263,-96.6717,38.33727,1
264,-97.32039,38.05056,1
265,-97.52895,37.30995,1
266,-97.3393,38.71583,1
267,-95.89246,39.24995,1
268,-95.78694,39.39032,1
269,-97.21202,38.08891,1
270,-96.17777,39.26019,1
271,-96.06972,39.22508,1
272,-99.11388,39.08875,1
273,-96.85632,38.01161,1
274,-97.21214,37.90825,1
275,-96.93218,38.37126,1
276,-98.08103,37.422,1
277,-99.92038,39.37534,1
