,X_WGS84,Y_WGS84,pedarg
1,-95.48188791,45.38375872,1
2,-96.44021745,47.73123531,1
3,-99.31001069,45.72263677,1
4,-96.26883775,47.00912142,1
5,-96.04600045,45.86486958,1
6,-96.42635177,47.05258589,1
7,-98.56468499,43.65597419,1
8,-96.26657794,44.99327893,1
9,-96.53781893,44.75290954,1
10,-95.86410552,45.98465008,1
11,-96.55766023,45.4578022,1
12,-96.18004871,47.19796342,1
13,-99.30212374,46.14359619,1
14,-99.30988848,44.82185409,1
15,-97.32552764,46.35917715,1
16,-96.43293366,44.68775194,1
17,-96.41663329,45.24582144,1
18,-96.38446296,44.86193275,1
19,-99.45004597,45.29236942,1
20,-99.12565827,45.71706314,1
21,-95.28135546,45.43805272,1
22,-95.9719605,45.46098053,1
23,-99.16336871,44.39251859,1
24,-96.00221481,45.74575549,1
25,-96.55388642,47.9900341,1
26,-99.8193932,45.53114406,1
27,-99.63592758,45.7824204,1
28,-99.21602676,46.57782785,1
29,-96.21679408,46.86588042,1
30,-98.66336932,43.80589496,1
31,-96.35421183,47.18055127,1
32,-97.10539129,46.51471422,1
33,-97.42002983,46.54149762,1
34,-99.1967897,46.30139692,1
35,-95.54547876,45.1053477,1
36,-96.03570052,47.03658659,1
37,-98.88743478,46.48474325,1
38,-99.49550204,46.44986368,1
39,-99.62896004,44.97743952,1
40,-99.05994331,46.55160083,1
41,-95.74723908,45.81613929,1
42,-99.23786111,46.42782594,1
43,-96.14371064,47.10800179,1
44,-98.92946013,45.99706841,1
45,-99.22060747,45.27960441,1
46,-96.38416138,45.33661384,1
47,-99.382942,42.365833,1
48,-95.063644,43.725125,1
49,-96.061466,38.542171,1
50,-106.53696,52.159759,1
51,-100.50975,49.524503,1
52,-106.26454,47.733374,1
53,-95.061417,44.197739,1
54,-94.845886,43.961814,1
55,-109.97062,50.581768,1
56,-97.265862,46.492797,1
57,-104.985858,50.023638,1
58,-93.058494,44.393262,1
59,-95.515149,45.529434,1
60,-106.478103,50.961896,1
61,-107.717274,47.752347,1
62,-107.499168,49.154989,1
63,-100.400668,44.077048,1
64,-105.401516,50.589108,1
65,-101.023486,48.099732,1
66,-108.960776,50.361785,1
67,-107.233546,52.13235,1
68,-99.241334,47.1282,1
69,-99.10656,47.16165,1
70,-104.709276,50.717138,1
71,-103.548788,44.0801,1
72,-103.857127,44.626296,1
73,-110.034133,52.577854,1
74,-101.603221,43.256336,1
75,-101.181122,46.459297,1
76,-98.728745,44.542572,1
77,-100.385628,47.122597,1
78,-95.069345,44.096469,1
79,-99.745452,49.56946,1
80,-104.718792,44.593062,1
81,-99.340363,43.78674,1
82,-103.41912,43.798477,1
83,-102.234446,43.869318,1
84,-96.322055,44.013573,1
85,-100.516542,46.841488,1
86,-102.452653,48.590947,1
87,-100.72812,46.823472,1
88,-101.426567,47.204625,1
89,-96.602137,41.016757,1
90,-100.319275,44.383492,1
91,-96.292028,40.667581,1
92,-100.749213,48.123497,1
93,-110.109561,50.718959,1
94,-100.885253,38.764092,1
95,-100.851983,46.769517,1
96,-97.446484,50.06706,1
97,-108.458904,51.572729,1
98,-100.034892,42.785835,1
99,-101.926467,43.763737,1
100,-103.532037,46.934233,1
101,-104.814125,49.257489,1
102,-101.125891,49.364138,1
103,-106.628247,51.125964,1
104,-101.310005,50.047642,1
105,-105.713045,46.533863,1
106,-101.383658,47.3666,1
107,-101.227487,46.726967,1
108,-101.411255,46.859476,1
109,-93.999333,44.261228,1
110,-96.066754,45.348313,1
111,-94.624365,45.44827,1
112,-95.665625,44.91304,1
113,-94.366246,44.841409,1
114,-96.18279,43.710505,1
115,-96.357127,43.899838,1
116,-94.842347,44.488589,1
117,-96.236536,45.2325,1
118,-96.353666,47.274461,1
119,-92.993814,44.797303,1
120,-93.592366,44.740217,1
121,-93.13606,43.986417,1
122,-95.520326,45.665122,1
123,-95.492683,44.781521,1
124,-94.30491,44.72505,1
125,-95.304643,43.522292,1
126,-95.066384,44.781449,1
127,-95.713386,43.927817,1
128,-95.927443,44.363181,1
129,-96.291139,44.233735,1
130,-96.376132,46.594689,1
131,-95.704576,44.261095,1
132,-95.922513,47.405143,1
133,-95.583537,43.623648,1
134,-96.813965,47.72417,1
135,-96.290714,46.318653,1
136,-93.557058,44.087544,1
137,-96.00743,47.158904,1
138,-95.881466,45.5498,1
139,-96.235363,46.159244,1
140,-96.604078,45.767018,1
141,-92.57874,43.536501,1
142,-95.164427,43.537333,1
143,-94.097386,43.767557,1
144,-95.440813,44.304782,1
145,-95.176068,45.044094,1
146,-94.90439,43.522882,1
147,-93.678266,43.724342,1
148,-93.65853,43.506845,1
149,-96.375181,46.434833,1
150,-94.48011,43.825466,1
151,-95.03969,45.419574,1
152,-96.297069,46.043255,1
153,-94.726579,45.131751,1
154,-95.93714,43.938755,1
155,-92.819238,43.7396,1
156,-96.246664,46.666485,1
157,-92.481349,44.259739,1
158,-95.743853,43.580108,1
159,-100.23097,46.671626,1
160,-96.545033,39.091404,1
161,-96.451582,46.866602,1
162,-100.916095,46.89477,1
163,-96.575355,38.448442,1
164,-108.763724,49.612297,1
165,-109.696555,47.686505,1
166,-106.7307,44.3651,1
167,-105.3393,44.541,1
168,-106.1188,43.992,1
169,-104.8114,44.3442,1
170,-104.5077,44.314,1
171,-101.6435,41.1997,1
172,-104.0526,43.6859,1
173,-105.978,44.1324,1
174,-104.8855,44.7949,1
175,-105.6633,44.8055,1
176,-96.9706,39.169,1
177,-104.3319,43.6151,1
178,-106.147,44.2764,1
179,-103.010154,42.704592,1
180,-99.873988,42.71803,1
181,-100.457497,46.44405,1
182,-96.966256,43.55084,1
183,-96.620992,39.226176,1
184,-94.9761,45.17968,1
185,-106.54418,49.06542,1
186,-100.78122,47.022908,1
187,-97.462242,46.40193,1
188,-104.404945,36.983888,1
189,-101.850536,50.694963,1
190,-104.841242,50.554971,1
191,-107.656274,49.203144,1
192,-106.715645,51.979329,1
193,-103.177148,45.525991,1
194,-96.830707,40.286605,1
195,-106.133628,49.399577,1
196,-104.90762,50.766676,1
197,-96.000621,45.151755,1
198,-107.146418,47.591223,1
199,-97.273062,49.889739,1
200,-103.829861,43.731418,1
201,-94.22234,43.10423,1
202,-103.482643,43.627022,1
203,-103.58657,41.68842,1
204,-97.334996,39.177673,1
205,-99.58172,43.96024,1
206,-100.27581,45.62379,1
207,-103.2838254,47.52688538,1
208,-98.29406,38.7312,1
209,-100.963026,38.919762,1
210,-98.58579,44.08179,1
211,-95.41313,38.50699,1
212,-99.032598,41.104946,1
213,-98.69916,40.57662,1
214,-103.30537,46.78452,1
215,-103.6828,41.31164,1
216,-98.293586,43.413828,1
217,-96.953502,40.817781,1
218,-102.7013393,48.5201185,1
219,-96.46518,38.55233,1
220,-100.75952,38.77655,1
221,-103.1985433,46.71082732,1
222,-98.892767,43.388998,1
223,-95.5125,39.30175,1
224,-95.89246,39.24995,1
225,-107.5972005,48.54033923,1
226,-98.66287,43.92357,1
227,-100.03455,42.690128,1
228,-99.08140689,47.68115609,1
229,-105.239371,43.655489,1
230,-99.68217,44.07611,1
231,-98.95258,40.08751,1
232,-105.5399098,46.41220493,1
233,-104.4918932,48.37841837,1
234,-103.7622,44.09367,1
235,-97.31290695,45.97407715,1
236,-109.5819961,46.96053735,1
237,-96.53224,44.511526,1
238,-103.9196501,46.29396463,1
239,-104.9621157,44.96376513,1
240,-100.2311585,46.2551436,1
241,-103.4127304,47.61372459,1
242,-98.59249803,46.20155109,1
243,-96.81361,41.06896,1
244,-98.05546,39.79625,1
245,-95.597592,39.100961,1
246,-95.679803,38.77925,1
247,-98.03045,38.72277,1
248,-98.10968,39.54905,1
249,-97.515837,39.680754,1
250,-96.02713,39.0127,1
251,-96.4514,38.66043,1
252,-100.33998,39.88732,1
253,-97.590622,39.830652,1
254,-97.96335,38.63354,1
255,-99.27477,39.39321,1
256,-96.63053,37.33933,1
257,-97.221019,45.74247,1
258,-103.53101,43.93027,1
259,-103.85035,44.275111,1
260,-103.467993,42.663643,1
261,-101.126681,43.005832,1
262,-98.2603462,46.00894317,1
263,-100.44755,45.45619,1
264,-100.15054,44.23168,1
265,-99.580903,39.628674,1
266,-96.67534,45.28135,1
267,-99.79754435,47.18960335,1
268,-96.827745,40.886594,1
269,-104.734929,44.827157,1
270,-103.1956117,46.58403768,1
271,-97.24286033,48.92693476,1
272,-165.86,65.56,0
273,-165.4,64.92,0
274,-165.02,65.79,0
275,-164.41,62.18,0
276,-164.15,68.42,0
