,X_WGS84,Y_WGS84,symnov
213,-73.77117,41.285195,1
214,-85.651153,41.287621,1
215,-81.111768,41.298982,1
216,-81.917222,41.304271,1
217,-89.037344,41.310981,1
218,-81.405846,41.321,1
219,-81.592247,41.321211,1
220,-88.428183,41.326707,1
221,-73.581026,41.334843,1
222,-75.883404,41.338523,1
223,-88.12991,41.342672,1
224,-94.025738,41.355443,1
225,-82.704362,41.356969,1
226,-88.315873,41.359191,1
227,-97.97489,41.36013,1
228,-83.668735,41.36437,1
229,-88.789305,41.371937,1
230,-82.509049,41.377796,1
231,-82.833779,41.402042,1
232,-87.599503,41.405072,1
233,-88.228243,41.420862,1
234,-90.825099,41.433037,1
235,-81.415511,41.434825,1
236,-81.996977,41.437703,1
237,-80.849435,41.443948,1
238,-83.78592,41.44543,1
239,-81.719796,41.451419,1
240,-71.497852,41.452294,1
241,-75.784849,41.460901,1
242,-73.2375,41.47611,1
243,-87.925124,41.510407,1
244,-80.50601,41.516515,1
245,-87.638915,41.52565,1
246,-70.658581,41.527922,1
247,-81.633498,41.542625,1
248,-81.366478,41.561333,1
249,-87.76586,41.581114,1
250,-83.59449,41.581294,1
251,-86.893552,41.586385,1
252,-88.555652,41.598973,1
253,-87.443861,41.599794,1
254,-93.830536,41.609564,1
255,-81.201797,41.623172,1
256,-88.734601,41.624729,1
257,-74.213867,41.634572,1
258,-70.582623,41.637782,1
259,-72.61145,41.644325,1
260,-88.016401,41.659238,1
261,-83.375514,41.661618,1
262,-73.898219,41.671121,1
263,-87.871961,41.675898,1
264,-87.754903,41.698488,1
265,-88.57948,41.705852,1
266,-74.094648,41.708836,1
267,-87.61326,41.719645,1
268,-70.205326,41.722057,1
269,-91.724739,41.723951,1
270,-81.338692,41.725376,1
271,-88.189509,41.73539,1
272,-70.797303,41.74478,1
273,-72.72181,41.75223,1
274,-88.862037,41.767494,1
275,-88.387561,41.77002,1
276,-70.630453,41.784303,1
277,-81.177003,41.788538,1
278,-83.5153,41.809723,1
279,-88.090616,41.81519,1
280,-69.960138,41.819549,1
281,-73.770903,41.825568,1
282,-87.957965,41.830242,1
