,X_WGS84,Y_WGS84,amocan
205,-94.9482,38.96229,1
206,-96.413339,39.470623,1
207,-95.783021,39.625746,1
208,-96.26137,37.58522,1
209,-95.87443,38.75151,1
210,-96.06416,38.54392,1
211,-96.71446,37.53628,1
212,-95.4544,37.84109,1
213,-96.48816,38.60278,1
214,-96.98205,38.32421,1
215,-94.773591,38.978333,1
216,-98.43009,38.91092,1
217,-95.11998,38.00818,1
218,-99.47486,37.87136,1
219,-98.87051,37.28216,1
220,-98.07268,37.98193,1
221,-95.52,39.60387,1
222,-96.80296,37.09894,1
223,-97.05537,37.70736,1
224,-99.84569,39.3594,1
225,-98.32298,39.50328,1
226,-98.250008,39.270101,1
227,-95.997622,39.083998,1
228,-96.53471,38.15665,1
229,-97.989,38.61695,1
230,-95.07291,37.79423,1
231,-97.94245,38.831222,1
232,-98.05546,39.79625,1
233,-96.26733,38.34411,1
234,-97.06668,38.19515,1
235,-95.28267,38.5641,1
236,-96.52044,39.81936,1
237,-95.332754,38.009468,1
238,-95.03487,38.61409,1
239,-97.515837,39.680754,1
240,-95.2063,37.71823,1
241,-94.86212,38.3309,1
242,-95.182796,37.255804,1
243,-95.13,37.57035,1
244,-97.257649,37.61175,1
245,-95.309039,39.983996,1
246,-94.978778,39.257884,1
247,-95.450737,38.905934,1
248,-95.274719,38.181119,1
249,-98.812052,39.467489,1
250,-95.22307,38.8474,1
251,-96.707382,39.142197,1
252,-97.87069,39.38774,1
253,-99.19757,38.44836,1
254,-96.32754,39.36102,1
255,-97.43516,38.46517,1
256,-95.28729,38.957,1
257,-95.9642,39.50764,1
258,-95.69734,37.87946,1
259,-98.637367,38.96223,1
260,-96.442911,50.440564,1
261,-97.116237,49.809547,1
262,-96.610472,50.242556,1
263,-96.874201,49.029833,1
264,-96.878732,50.002814,1
265,-98.233227,49.203446,1
266,-85.73563,42.22286,1
267,-94.954744,47.376885,1
268,-96.321223,46.509469,1
269,-92.101148,44.397792,1
270,-93.339947,44.706753,1
271,-92.50508,44.039714,1
272,-93.632483,45.187501,1
273,-95.395619,45.659943,1
274,-93.0259,44.786675,1
275,-93.174821,45.114905,1
276,-93.622489,44.729661,1
277,-93.024886,44.50092,1
278,-95.034757,45.325537,1
279,-93.018629,45.173535,1
280,-93.514711,44.822188,1
281,-91.588172,43.999613,1
282,-93.012108,44.937328,1
283,-95.677025,46.331186,1
284,-93.199403,44.468995,1
285,-93.523788,44.223645,1
286,-94.218281,46.343826,1
287,-92.792044,45.188035,1
288,-91.836892,44.17007,1
289,-93.372681,44.842488,1
290,-93.355623,45.263468,1
291,-96.434708,47.062314,1
292,-96.031883,43.93703,1
293,-94.240768,45.528935,1
294,-93.16485,45.382006,1
295,-92.660515,45.401893,1
296,-96.00743,47.158904,1
297,-94.30491,44.72505,1
298,-94.366246,44.841409,1
299,-95.902081,45.578583,1
300,-92.759467,43.724883,1
301,-92.791852,44.927188,1
302,-95.704576,44.261095,1
303,-94.30299,46.106283,1
304,-94.90439,43.522882,1
305,-95.743853,43.580108,1
306,-95.304643,43.522292,1
307,-96.447209,48.072166,1
308,-96.34232,43.609067,1
309,-96.353666,47.274461,1
310,-93.602608,45.350221,1
311,-95.573544,46.144254,1
312,-93.658275,43.76798,1
313,-92.908681,45.083491,1
314,-94.726579,45.131751,1
315,-95.843726,43.507279,1
316,-92.540736,44.491938,1
317,-92.519043,43.536578,1
318,-95.250604,44.000037,1
319,-95.927443,44.363181,1
320,-95.105077,43.724929,1
321,-92.079227,43.709965,1
322,-94.380017,46.333217,1
323,-94.097386,43.767557,1
324,-92.348771,43.985077,1
325,-96.183893,47.201968,1
326,-96.291139,44.233735,1
327,-93.736353,44.666506,1
328,-93.939379,44.362618,1
329,-93.860001,45.331908,1
330,-95.049966,44.086452,1
331,-96.101203,44.355947,1
332,-95.740675,47.768484,1
333,-94.045195,45.391222,1
334,-95.713386,43.927817,1
335,-94.990327,44.543269,1
336,-92.499267,43.797643,1
337,-94.498906,44.029211,1
338,-94.7622,44.75334,1
339,-91.990286,44.15652,1
340,-95.024431,43.652398,1
341,-93.481581,45.522434,1
342,-96.235363,46.159244,1
343,-91.42281,43.767742,1
344,-95.080251,45.477387,1
345,-93.747081,45.379018,1
346,-95.164427,43.537333,1
347,-95.922513,47.405143,1
348,-93.872046,44.55417,1
349,-94.143452,45.698563,1
350,-95.149836,44.605322,1
351,-95.258125,46.927592,1
352,-93.099248,43.666499,1
353,-92.339224,44.519991,1
354,-96.236536,45.2325,1
355,-92.806847,44.550347,1
356,-91.413158,43.961895,1
357,-94.390666,45.594719,1
358,-96.699322,48.912604,1
359,-93.303389,45.141463,1
360,-91.931316,44.258879,1
361,-92.046347,44.046634,1
362,-93.69747,45.490153,1
363,-96.412585,47.606395,1
364,-94.35707,45.47366,1
365,-94.306987,46.426811,1
366,-93.996564,44.271979,1
367,-95.775719,44.994547,1
368,-93.21549,44.859361,1
369,-93.282511,44.941515,1
370,-92.489847,44.139511,1
371,-94.10164,45.53957,1
372,-93.157797,44.779154,1
373,-95.283069,45.439596,1
374,-96.463482,46.858448,1
375,-95.521787,45.483944,1
376,-91.280005,37.90708,1
377,-94.341995,37.768433,1
378,-94.570938,38.880537,1
379,-91.850722,37.531272,1
380,-92.236183,38.588528,1
381,-94.104581,37.860893,1
382,-94.553268,37.522901,1
383,-93.2657,38.547028,1
384,-90.915071,39.033461,1
385,-92.305002,38.871037,1
386,-93.908427,37.104046,1
387,-90.551784,38.201885,1
388,-91.194342,37.00386,1
389,-91.635439,40.521151,1
390,-95.620545,40.476946,1
391,-91.016804,39.185324,1
392,-90.806062,38.475675,1
393,-93.985698,37.891129,1
394,-92.761694,37.971635,1
395,-91.99198,38.949193,1
396,-93.411361,37.563693,1
397,-94.363461,36.972284,1
398,-98.07409,41.017194,1
399,-97.41916,42.038638,1
400,-100.068111,40.875103,1
401,-96.843017,40.697025,1
402,-98.582092,40.731963,1
403,-99.328628,41.927283,1
404,-99.698958,42.475922,1
405,-98.466325,40.892462,1
406,-95.951867,41.390817,1
407,-96.579278,40.621758,1
408,-99.679824,42.669713,1
409,-100.963972,40.649297,1
410,-96.828981,41.26933,1
411,-101.859473,41.488724,1
412,-96.7518,40.6184,1
413,-98.106536,42.34998,1
414,-96.173645,41.5873,1
415,-96.142128,41.340387,1
416,-96.832617,40.287293,1
417,-99.032598,41.104946,1
418,-98.69916,40.57662,1
419,-99.0849,40.9694,1
420,-98.807965,41.769308,1
421,-97.96137,40.4448,1
422,-101.669092,41.243003,1
423,-98.64913,41.87993,1
424,-101.64128,40.84514,1
425,-95.602696,40.286995,1
426,-106.281028,35.793981,1
427,-104.987323,36.455445,1
428,-103.980605,36.778695,1
429,-105.704518,35.544555,1
430,-104.361635,36.07015,1
431,-105.238456,35.527973,1
432,-100.91486,46.764448,1
433,-99.10656,47.16165,1
434,-97.879982,46.5008,1
435,-97.999079,46.917736,1
436,-98.979577,47.985943,1
437,-100.385033,47.123031,1
438,-98.618972,46.683747,1
439,-102.555406,45.971595,1
440,-101.093764,46.865963,1
441,-101.390639,47.359954,1
442,-100.267942,46.690089,1
443,-100.665419,47.838058,1
444,-100.537176,48.569451,1
445,-100.5438113,46.59152111,1
446,-100.2875128,48.4649807,1
447,-97.98118251,48.76278143,1
448,-96.427847,36.845429,1
449,-95.862471,36.666544,1
450,-98.70252,34.722804,1
451,-96.263437,36.135045,1
452,-96.070655,35.622063,1
453,-97.27317,35.19033,1
454,-97.000073,36.785947,1
455,-97.099095,35.276809,1
456,-97.097328,36.21255,1
457,-98.557684,34.679322,1
458,-98.980207,34.746408,1
459,-99.381035,36.627041,1
460,-96.588646,43.467916,1
461,-96.958825,42.872292,1
462,-99.33985,43.788033,1
463,-101.602792,43.257117,1
464,-103.421624,44.470177,1
465,-102.168372,45.675803,1
466,-103.41548,43.80122,1
467,-96.569659,44.746341,1
468,-103.417918,43.65444,1
469,-103.586332,43.780554,1
470,-103.506755,44.075146,1
471,-96.756121,44.86261,1
472,-103.410509,43.396804,1
473,-103.573677,43.337063,1
474,-98.71645,44.534573,1
475,-96.969192,43.55157,1
476,-98.892767,43.388998,1
477,-97.19005,45.74684,1
478,-98.83569,45.72047,1
479,-96.5244,44.5051,1
480,-97.49029,42.8818,1
481,-98.5035,43.19128,1
482,-100.42697,45.49963,1
483,-103.19375,43.66554,1
484,-103.3068,44.0712,1
485,-103.56391,43.60673,1
486,-100.286163,35.928438,1
487,-97.058443,32.982291,1
488,-97.668996,33.362807,1
489,-94.235663,31.075095,1
490,-101.879827,35.469779,1
491,-90.865102,44.248275,1
492,-89.440072,43.029636,1
493,-87.960043,43.023586,1
494,-89.442528,43.123002,1
495,-90.772309,43.427901,1
496,-89.720288,43.41467,1
497,-89.469343,44.207372,1
498,-91.205223,43.792232,1
499,-89.041784,42.571705,1
500,-88.036177,42.924918,1
501,-90.088649,43.208199,1
502,-89.379838,43.321359,1
503,-89.91684,43.152482,1
504,-89.298308,43.121175,1
505,-87.812706,42.506905,1
506,-89.407058,43.521758,1
507,-92.029617,44.562092,1
508,-90.866908,44.111386,1
509,-89.928017,42.84518,1
510,-89.442633,43.233637,1
511,-90.229125,43.194442,1
512,-89.223403,44.320417,1
513,-92.75532,45.024911,1
514,-88.311088,43.015223,1
515,-91.123318,44.586522,1
516,-89.871047,42.951138,1
517,-89.765216,42.845176,1
518,-92.798607,45.600351,1
519,-92.73813,44.83223,1
520,-89.571151,43.078555,1
521,-87.659549,44.281211,1
522,-89.88446,43.867597,1
523,-88.190427,43.642731,1
524,-92.65154,45.88303,1
525,-89.387747,43.687153,1
526,-89.342356,44.040497,1
527,-89.846042,43.753045,1
528,-88.452501,42.836308,1
529,-92.79533,45.69141,1
530,-89.80743,44.009594,1
531,-89.059734,42.990129,1
532,-91.251352,43.9215,1
533,-91.200118,43.455797,1
534,-91.1401,43.376888,1
535,-91.023112,42.736337,1
536,-89.773482,43.139063,1
537,-90.680489,43.132109,1
538,-88.626547,42.848269,1
539,-89.810212,43.051755,1
540,-89.790659,43.292456,1
