,X_WGS84,Y_WGS84,koemac
208,-117.25226,32.83977,1
209,-117.23896,33.03798,1
210,-116.65,32.9,1
211,-116.44724,32.88727,1
212,-116.99667,32.89556,1
213,-116.6125,33.15833,1
214,-117.0528,32.61394,1
215,-116.58557,32.98782,1
216,-117.17924,33.39054,1
217,-116.90336,32.69249,1
218,-117.02194,33.01583,1
219,-116.83838,32.92704,1
220,-113.974472,46.909588,1
221,-122.420833,39.0375,1
222,-122.274444,38.898611,1
223,-122.856389,38.810278,1
224,-121.06534,41.65063,1
225,-121.1092,41.4833,1
226,-118.825107,34.859413,1
227,-122.37711,38.480826,1
228,-121.473451,39.458855,1
229,-122.75728,38.93778,1
230,-120.8751,41.4452,1
231,-118.3200874,36.44518558,1
232,-118.8519,37.5217,1
233,-119.7384,34.4167,1
234,-121.89314,36.33366,1
235,-121.93082,40.82112,1
236,-121.11624,36.51002,1
237,-118.415895,36.669598,1
238,-123.01222,40.98194,1
239,-119.744,34.601,1
240,-121.9118403,41.58392565,1
241,-122.657231,38.519282,1
242,-123.8226,41.1542,1
243,-121.6955,36.1769,1
244,-118.371758,36.566603,1
245,-117.65,34.2406,1
246,-120.83982,36.27542,1
247,-121.31448,36.73259,1
248,-117.29167,34.21806,1
249,-122.39972,37.681461,1
250,-122.59828,40.28876,1
251,-121.21653,41.6166,1
252,-122.6247,41.6788,1
253,-122.04435,37.04709,1
254,-120.7754,36.1927,1
255,-118.348271,36.887567,1
256,-119.292777,37.971889,1
257,-118.282263,35.88222,1
258,-120.72292,41.47997,1
259,-122.585941,37.862469,1
260,-119.012736,38.21134,1
261,-122.136854,38.476327,1
262,-120.694781,35.687452,1
263,-121.62395,40.78109,1
264,-118.757186,37.420583,1
265,-121.93335,36.61074,1
266,-122.131944,41.865,1
267,-116.8125,34.162222,1
268,-122.331667,41.495556,1
269,-121.169444,41.747222,1
270,-121.107778,40.626667,1
271,-121.820556,39.205556,1
272,-121.488056,39.797222,1
273,-121.692778,36.572778,1
274,-115.744033,49.795078,1
275,-105.548555,40.691059,1
276,-122.265178,51.984691,1
277,-106.174133,38.705178,1
278,-104.828251,38.739638,1
279,-93.164849,45.382004,1
280,-93.934975,44.36564,1
281,-104.706196,39.567991,1
282,-117.48893,33.48366,1
283,-103.730536,42.42471,1
284,-118.180514,37.386726,1
285,-122.03038,42.13195,1
286,-87.639852,41.075384,1
287,-106.219934,36.989714,1
288,-118.12017,37.50863,1
289,-89.927845,40.377973,1
290,-103.532112,46.934258,1
291,-106.59442,35.817474,1
292,-101.929445,43.876717,1
293,-107.616988,36.971092,1
294,-113.443423,46.943829,1
295,-103.461342,44.448272,1
296,-105.057219,40.952253,1
297,-88.18563,42.351814,1
298,-87.63286,41.96468,1
299,-106.734054,51.936341,1
300,-96.82917,41.26906,1
301,-114.186819,51.096135,1
302,-113.871528,49.069645,1
303,-110.535129,45.701399,1
304,-89.76508,42.844798,1
305,-118.852748,37.351366,1
306,-108.861634,49.524984,1
307,-124.426383,49.617527,1
308,-89.43953,43.030234,1
309,-113.805,36.7955,1
310,-113.889,35.0729,1
311,-112.118192,36.340898,1
312,-111.782,35.145,1
313,-109.57446,34.11159,1
314,-111.337867,33.703167,1
315,-111.604,35.1573,1
316,-110.92,33.9354,1
317,-110.218,32.8529,1
318,-111.64,34.76,1
319,-110.301,32.969,1
320,-112.701,34.2816,1
321,-110.885,33.8204,1
322,-112.183,35.8978,1
323,-110.29825,31.42515,1
324,-106.475,35.8333,1
325,-111.972203,35.976195,1
326,-111.399614,40.986668,1
327,-119.874,34.5466,1
328,-119.1318,34.6907,1
329,-120.1329,34.907,1
330,-119.697,33.992,1
331,-120.3035,34.7475,1
332,-120.5833,34.6933,1
333,-120.59861,34.80811,1
334,-120.54518,34.559005,1
335,-120.45045,35.1824,1
336,-121.291297,35.709868,1
337,-120.8661,35.3133,1
338,-120.454144,35.493219,1
339,-120.68151,35.26966,1
340,-121.0475,35.6705,1
341,-121.362803,44.059066,1
342,-89.772533,43.139827,1
343,-90.055869,43.940517,1
344,-114.033198,46.662828,1
345,-89.810935,44.281832,1
346,-96.539427,39.092353,1
347,-94.281709,46.305464,1
348,-93.240726,45.080165,1
349,-94.149633,45.694367,1
350,-93.097205,45.010751,1
351,-94.973565,47.54358,1
352,-91.919477,43.796562,1
353,-95.019606,45.260622,1
354,-96.05472,44.231853,1
355,-96.437023,44.680542,1
356,-96.265975,44.827179,1
357,-95.970678,44.372537,1
358,-95.064623,43.72505,1
359,-93.884026,45.345989,1
360,-96.424848,45.07348,1
361,-91.744369,43.818471,1
362,-93.64729,44.690304,1
363,-95.180237,47.232294,1
364,-94.835117,45.376923,1
