,X_WGS84,Y_WGS84,bougra
209,-95.281279,45.440774,1
210,-106.100429,37.582057,1
211,-104.571603,37.143239,1
212,-105.18958,39.69503,1
213,-104.644569,38.860225,1
214,-112.521867,37.501112,1
215,-119.575387,39.2429,1
216,-103.698531,41.837851,1
217,-105.020525,40.562678,1
218,-103.898806,50.792284,1
219,-111.560706,35.371824,1
220,-108.847236,52.840768,1
221,-93.165791,45.116621,1
222,-111.768001,47.195574,1
223,-104.81548,49.253668,1
224,-112.488769,42.918678,1
225,-106.427216,44.423897,1
226,-103.531953,46.934363,1
227,-112.7752,51.471981,1
228,-104.913704,40.878832,1
229,-105.084396,40.943877,1
230,-104.802835,39.712833,1
231,-95.42948,29.765047,1
232,-106.344087,35.037053,1
233,-93.160422,16.631854,1
234,-112.575655,52.598875,1
235,-110.655272,50.040292,1
236,-103.621712,47.240708,1
237,-102.109781,34.918116,1
238,-114.373277,51.159998,1
239,-110.617,34.4884,1
240,-110.66,31.68,1
241,-110.766,31.5311,1
242,-113.083,36.4625,1
243,-112.37,34.56,1
244,-111.95,33.4,1
245,-109.41,35.584,1
246,-111.76,35.44,1
247,-110.15,32.8818,1
248,-112.889,36.5931,1
249,-113.226,36.3602,1
250,-112.5,34.48,1
251,-110.03,34.25,1
252,-109.36,34.5489,1
253,-109.168589,31.890401,1
254,-112.160603,36.730159,1
255,-110.09,34.17,1
256,-110.038,34.7554,1
257,-113.889,35.0729,1
258,-109.996,35.031,1
259,-110.66,31.94,1
260,-111.039,33.9497,1
261,-114.000792,36.280268,1
262,-109.18,33.99,1
263,-111.607274,34.851623,1
264,-105.545,32.77,1
265,-105.3714,37.7022,1
266,-109.85144,41.54084,1
267,-101.623427,41.128008,1
268,-99.21173,34.779446,1
269,-112.18794,33.577991,1
270,-109.32675,33.63629,1
271,-115.592356,35.550884,1
272,-96.417356,47.056714,1
273,-95.748006,45.810665,1
274,-93.680747,45.44644,1
275,-95.019606,45.260622,1
276,-95.92323,44.34478,1
277,-93.398987,45.219531,1
278,-95.492552,44.781965,1
279,-98.079205,47.037869,1
280,-103.009844,42.704288,1
281,-107.948621,50.652035,1
282,-97.472975,42.034121,1
283,-104.858056,36.513056,1
284,-105.090783,39.063444,1
285,-105,40.33333,1
286,-106.662667,38.526239,1
287,-114.047286,51.133939,1
288,-104.75034,39.934706,1
289,-114.235189,51.119697,1
290,-111.931008,36.013867,1
291,-114.088718,51.011562,1
292,-103.840624,30.539658,1
293,-104.859588,39.82603,1
294,-110.076125,32.059656,1
295,-97.519061,37.23925,1
296,-102.253638,21.811096,1
297,-99.830232,20.119049,1
298,-103.005967,42.517633,1
299,-112.171773,35.934265,1
300,-103.414066,43.651462,1
301,-108.465963,33.467139,1
302,-99.340181,20.065042,1
303,-112.192232,35.241449,1
304,-107.8,50.28,1
305,-113.89,55.08,1
306,-112.04,46.59,1
307,-98.626,49.288,1
308,-96.81,50.4,1
309,-123.19,49.12,1
310,-119.759,49.177,1
311,-120.32,50.67,1
312,-112.25,51.67,1
313,-115.3,49.38,1
314,-116.74,49.5,1
315,-106.67,52.13,1
316,-115.612899,36.308956,1
317,-103.562387,34.025745,1
318,-106.773301,35.137519,1
319,-104.892258,39.019567,1
320,-97.10363,36.212371,1
321,-97.516536,21.464008,1
322,-111.627852,37.788494,1
323,-108.796312,33.12526,1
324,-102.752227,20.822138,1
325,-105.669342,32.963438,1
326,-105.699837,34.104931,1
327,-108.454027,30.841889,1
328,-110.564944,34.396183,1
329,-103.371149,34.176681,1
330,-105.545312,32.917147,1
331,-98.579963,36.36518,1
332,-111.668946,35.161004,1
333,-107.62165,34.104039,1
334,-100.647225,47.293922,1
335,-104.1014,44.6536,1
336,-109.4406,38.1922,1
337,-112.6568,37.1881,1
338,-105.399,39.7478,1
339,-108.7438,44.6007,1
340,-111.2543,39.112,1
341,-105.4393,36.9528,1
342,-109.5273,38.0105,1
343,-105.6913,39.3393,1
344,-104.896294,40.992115,1
345,-108.988377,38.524855,1
346,-109.4024,39.5845,1
347,-106.3385,37.6849,1
348,-113.0004,37.3475,1
349,-107.1975,42.4527,1
350,-113.5222,37.3955,1
351,-111.3585,38.0095,1
352,-96.6824,41.8068,1
353,-105.9476,43.6718,1
354,-110.6165,39.2717,1
355,-104.9,40.4667,1
356,-106.2665,38.8047,1
357,-108.7334,32.2179,1
358,-109.2967,38.5581,1
359,-115.7358,36.4307,1
360,-108.2258,43.8069,1
361,-105.978,44.1324,1
362,-101.841162,35.039361,1
363,-109.2053,38.7019,1
364,-113.3705,37.7875,1
365,-112.6211,37.7102,1
366,-110.512,40.4968,1
367,-107.9536,33.012,1
368,-100.665419,47.838058,1
369,-97.491,39.8787,1
370,-105.7861,32.4941,1
371,-105.7371,41.1244,1
372,-112.5201,38.259,1
373,-99.952083,20.182773,1
374,-98.845855,19.690625,1
375,-106.109239,28.587448,1
376,-102.193895,21.979862,1
377,-107.173538,38.46814,1
378,-107.670535,33.73995,1
379,-101.094315,33.46258,1
380,-109.805279,35.051507,1
381,-110.437479,31.107412,1
382,-102.885973,32.54463,1
383,-96.696813,48.912735,1
384,-99.733216,19.369001,1
385,-108.671132,38.227788,1
386,-108.3823122,29.61405383,1
387,-98.39671672,17.46623072,1
388,-106.345,28.8636,1
389,-98.8620363,19.16896097,1
390,-108.08167,30.3075,1
391,-108.135667,29.241194,1
392,-103.23889,23.60972,1
393,-102.27611,22.36083,1
394,-100.96667,21.21611,1
395,-103.18139,24.21333,1
396,-98.70583,19.63472,1
397,-105.498017,26.448555,1
398,-104.936161,27.311795,1
399,-101.61389,21.73222,1
400,-102.104274,21.868747,1
401,-101.10905,22.02021366,1
402,-101.0321071,25.35368871,1
403,-100.7898718,21.86272171,1
404,-93.092143,44.968719,1
405,-102.115929,31.963368,1
406,-93.30233,45.140217,1
407,-89.901357,43.920023,1
408,-110.689842,32.400729,1
409,-96.412054,47.606609,1
410,-112.736678,35.293512,1
411,-106.114658,36.832913,1
412,-96.595359,39.104213,1
413,-102.960859,36.957075,1
414,-112.82021,49.658096,1
415,-107.993646,36.315025,1
416,-111.666004,35.542659,1
417,-105.510082,33.473898,1
418,-105.703121,33.930742,1
419,-101.888902,33.625805,1
420,-111.752481,35.922294,1
421,-105.1315,40.47981,1
422,-115.290265,35.266933,1
423,-111.9825,34.734833,1
424,-115.111825,36.622095,1
425,-111.32444,34.272903,1
426,-104.0098,36.8712,1
427,-104.472028,36.8865,1
428,-104.39213,34.61309,1
429,-103.66159,35.83856,1
430,-104.29072,35.91198,1
431,-104.040138,35.660417,1
432,-103.04722,36.23825,1
433,-103.449695,36.828028,1
434,-103.073222,36.403112,1
435,-104.67152,35.02427,1
436,-105.2568,42.233,1
437,-105.72552,35.67142,1
438,-105.0748,23.8853,1
439,-104.7872,23.9708,1
440,-104.615411,32.153072,1
441,-107.168,36.048,1
442,-103.975636,36.776478,1
443,-106.57608,35.83114,1
444,-106.6083,35.9889,1
445,-105.707571,33.549558,1
446,-107.704,36.039,1
447,-105.59004,36.565529,1
448,-104.696193,32.250565,1
449,-108.051935,35.816142,1
450,-106.941438,35.033442,1
451,-108.083772,35.176711,1
452,-106.726479,35.88334,1
