,X_WGS84,Y_WGS84,geutri
208,-93.048614,44.68152,1
209,-89.867604,42.952923,1
210,-89.34317,43.027725,1
211,-117.648359,47.599167,1
212,-117.166611,46.713948,1
213,-113.931787,46.954095,1
214,-112.498981,42.830786,1
215,-78.856563,44.624959,1
216,-105.125474,38.067302,1
217,-89.876076,43.694239,1
218,-99.10656,47.16165,1
219,-114.23358,50.874458,1
220,-83.871089,43.593269,1
221,-116.609322,45.001381,1
222,-106.138958,52.100451,1
223,-89.042908,42.5709,1
224,-93.085276,45.182202,1
225,-88.733197,41.819429,1
226,-112.942322,49.667703,1
227,-112.795403,49.650658,1
228,-93.092248,44.975837,1
229,-106.79351,48.55892,1
230,-120.13662,49.370997,1
231,-104.894966,39.787474,1
232,-114.285592,46.050922,1
233,-89.309784,41.980448,1
234,-114.067192,46.9529,1
235,-114.358801,50.716868,1
236,-95.636017,46.204245,1
237,-110.738464,44.939014,1
238,-89.156675,42.304985,1
239,-96.123758,41.229719,1
240,-88.897184,42.287933,1
241,-110.73842,43.47477,1
242,-113.96887,46.844041,1
243,-88.318151,42.196512,1
244,-117.626511,49.533367,1
245,-90.180579,43.152766,1
246,-88.877137,42.955992,1
247,-89.750407,44.327857,1
248,-79.164315,44.521802,1
249,-88.481244,42.872645,1
250,-120.144551,56.087261,1
251,-97.135955,50.010661,1
252,-88.967365,42.422699,1
253,-88.283753,42.044018,1
254,-106.579369,49.06946,1
255,-88.606506,42.839668,1
256,-115.136589,49.110317,1
257,-93.696991,45.490765,1
258,-87.633231,41.917813,1
259,-116.001219,42.344837,1
260,-116.462702,46.231236,1
261,-106.637436,53.64269,1
262,-89.272541,44.544736,1
263,-121.264558,46.939861,1
264,-106.942494,37.18648,1
265,-105.297647,36.344503,1
266,-106.750326,37.801109,1
267,-120.161055,48.48983,1
268,-119.247589,50.210697,1
269,-81.853625,45.802177,1
270,-115.260819,49.240589,1
271,-107.780922,37.812488,1
272,-106.362482,37.445072,1
273,-120.807652,47.12534,1
274,-106.25766,39.304233,1
275,-116.315094,52.312683,1
276,-105.908606,39.422522,1
277,-114.532098,48.090676,1
278,-105.422303,39.51835,1
279,-104.731317,39.318887,1
280,-118.041627,52.904529,1
281,-110.017195,52.579401,1
282,-105.294518,38.912665,1
283,-104.938451,39.457611,1
284,-106.536302,39.119144,1
285,-118.506603,55.261512,1
286,-108.809924,49.573027,1
287,-109.77887,49.53838,1
288,-109.039619,49.2028,1
289,-105.276299,36.951603,1
290,-107.1119,37.14059,1
291,-108.4732,37.682617,1
292,-105.00798,37.87983,1
293,-106.22652,40.55917,1
294,-108.6215,38.73931,1
295,-105.59305,40.76746,1
296,-106.44299,39.58887,1
297,-107.938823,37.795396,1
298,-105.926573,40.00698,1
